198: ACCT,"Accounting Seminar"
8120: NEWS,"Quantificatn As World-Making"
8121: NEWS,"Quantitative Methods"
8122: NEWS,"Race8123: NEWS,"Racial Confl Cities"
8124: NEWS,"Radical Democracy"
8125: NEWS,"Rdng-Foucault"
8126: NEWS,"Reform8127: NEWS,"Relig8128: NEWS,"Religion & Modernity"
8129: NEWS,"Religion & Secularism"
8130: NEWS,"Renaissance Platonism"
8131: NEWS,"Rethinking Capitalism"
8132: NEWS,"Revolutions & Empire"
8133: NEWS,"Rise & Fall of Communism"
8134: NEWS,"Satistics II"
8135: NEWS,"Scientifc Revoluton"
8136: NEWS,"Sem: Cognitive Behav Therapy"
8137: NEWS,"Sem: European Cmmty"
8138: NEWS,"Sem: Religion & Globalization"
8139: NEWS,"Semnr Family Cognit"
8140: NEWS,"Settler Colonialism"
8141: NEWS,"Sex And The City"
8142: NEWS,"Sex and the City"
8143: NEWS,"Shakesp As Pol Phil"
8144: NEWS,"Short-Term Psychology"
8145: NEWS,"So Amer/Land-Labor"
8146: NEWS,"Soc Construction of Memory"
8147: NEWS,"Soc Movements & Utopia"
8148: NEWS,"Soc of Organiz & Disorganiz"
8149: NEWS,"Soc of the State & Its Law"
8150: NEWS,"Social Interaction"
8151: NEWS,"Socialist Economy"
8152: NEWS,"Sociolg/Polit Power"
8153: NEWS,"Sociology of Knowledge"
8154: NEWS,"South Asian Politics"
8155: NEWS,"Sovereignty & Solidarity"
8156: NEWS,"Spanish Grad Rdng"
8157: NEWS,"Spanish-Grad Readng"
8158: NEWS,"State8159: NEWS,"State8160: NEWS,"Technopolitics"
8161: NEWS,"Televisuality"
8162: NEWS,"Territories8163: NEWS,"Texts & Interpretation"
8164: NEWS,"The Body & Cognition"
8165: NEWS,"The Divided Subject"
8166: NEWS,"The Ghetto"
8167: NEWS,"The Politics of Identity"
8168: NEWS,"The Romantic Enlightenment"
8169: NEWS,"The Sacred & The Profane"
8170: NEWS,"The Sociology of Time"
8171: NEWS,"Theories of Publics"
8172: NEWS,"Theorizing Crisis"
8173: NEWS,"Thinking the Present"
8174: NEWS,"Time8175: NEWS,"Tpc: Evolutionary Psychology"
8176: NEWS,"Trad/Mod Middl East"
8177: NEWS,"Tragedy in Modernity"
8178: NEWS,"Tragedy’s Philosophy"
8179: NEWS,"Transnationalism"
8180: NEWS,"Urban Poverty U.S."
8181: NEWS,"Urban Social Mvmnts"
8182: NEWS,"Violence & Ethics"
8183: NEWS,"Visual Politics"
8184: NEWS,"Visual Sociology"
8185: NEWS,"Woprkers and Politics"
8186: NURS,"Advanced Scientific Writing"
8187: NURS,"Advanced Scientific Writing 3"
8188: NURS,"Advanced Scientific Writing II"
8189: NURS,"Applied Statistics I"
8190: NURS,"Applied Statistics II"
8191: NURS,"Bioethics I"
8192: NURS,"Bioethics II"
8193: NURS,"Bioethics/Clin Decision Making"
8194: NURS,"Database Analyses"
8195: NURS,"Dissertation Advisement"
8196: NURS,"Dissertation Seminar"
8197: NURS,"Dissertation Seminar 3"
8198: NURS,"Dissertation Seminar 4"
8199: NURS,"Dissertation Seminar I"
8200: NURS,"Dissertation Seminar II"
8201: NURS,"Dvlpmnt of Nursing Knowledge"
8202: NURS,"Ed Resrch/Health Care Setting"
8203: NURS,"Independent Study"
8204: NURS,"Info Tech/Healthcare/Nursing"
8205: NURS,"Initiatives/Policy & Economics"
8206: NURS,"Interdisciplinary Resrch/Thry"
8207: NURS,"Measurement/Nursing Research"
8208: NURS,"Pharm Infant/Child"
8209: NURS,"Philosophy of Science"
8210: NURS,"Practicum in Nursing Research"
8211: NURS,"Prspctvs to Eliminate Hlth Dsp"
8212: NURS,"Qualitative Research Meth II"
8213: NURS,"Qualitative Research Methods I"
8214: NURS,"Quantitative Research Design"
8215: NURS,"Special Topics in Nursing"
8216: NURS,"Stress/Gender Issue"
8217: NUTR,"Human Nutrition Ii"
8218: NUTR,"Nutrition/Metabolis"
8219: NUTR,"Nutritional Assessment"
8220: NUTR,"The Science of Foods"
8221: PERM,"American Museum of Natrl Hist"
8222: PERM,"BMCC"
8223: PERM,"Baruch College"
8224: PERM,"Bronx Community College"
8225: PERM,"Brooklyn College"
8226: PERM,"CUNY Law School"
8227: PERM,"City College"
8228: PERM,"College of Staten Island"
8229: PERM,"Hunter College"
8230: PERM,"John Jay College"
8231: PERM,"Kingsborough Community College"
8232: PERM,"Lehman College"
8233: PERM,"NYC College of Technology"
8234: PERM,"Permit Out"
8235: PERM,"Queens College"
8236: PERM,"Queensborough CC"
8237: PERM,"School of Journalism"
8238: PERM,"School of Labor&Urban Studies"
8239: PERM,"School of Professional Studies"
8240: PERM,"School of Public Health"
8241: PERM,"York College"
8242: PHED,"Intro Health Policy & Admin"
8243: PHIL,"19 Cent Philosophy"
8244: PHIL,"20c Deontolog Ethic"
8245: PHIL,"20c Metaphysics"
8246: PHIL,"A Priori Knowledge"
8247: PHIL,"Actions & Events"
8248: PHIL,"Ad Sem Epis-Ske/Crt"
8249: PHIL,"Ad Sm Metaphys Mind-Body Prob"
8250: PHIL,"Adv Sem Cntmp Phil"
8251: PHIL,"Adv Sem Epist Sceptc & Certnty"
8252: PHIL,"Adv Sem-Categories"
8253: PHIL,"Adv Sem-Obj/Sci Chc"
8254: PHIL,"Advanced Logic"
8255: PHIL,"Advanced Seminars"
8256: PHIL,"Aesthetics (Core)"
8257: PHIL,"Analy/Synth Distinc"
8258: PHIL,"Applied Ethics"
8259: PHIL,"Aristotle"
8260: PHIL,"Aristotle Metaphys"
8261: PHIL,"Aristotle’S Ethics"
8262: PHIL,"Behavioral Sciences"
8263: PHIL,"Belief/Propos Attit"
8264: PHIL,"Brit Moral Philosop"
8265: PHIL,"British Empiricism"
8266: PHIL,"British Moral Philo"
8267: PHIL,"British Moralists"
8268: PHIL,"Capit/Social/Moraly"
8269: PHIL,"Cartesian Sci/17c"
8270: PHIL,"Casuality"
8271: PHIL,"Causality"
8272: PHIL,"Causatn/Causal Expl"
8273: PHIL,"Classical Morl Trad"
8274: PHIL,"Cntmp Ethic Theory"
8275: PHIL,"Cntmp Ethical Thry"
8276: PHIL,"Cntmp Metaphy Systm"
8277: PHIL,"Cntmp Metaphysics"
8278: PHIL,"Cntxlsm/Ntlsm/Epstm"
8279: PHIL,"Cogito Ergo Sum"
8280: PHIL,"Computer Sc"
8281: PHIL,"Confirmation"
8282: PHIL,"Consciounes/Intentn"
8283: PHIL,"Consciousness"
8284: PHIL,"Contemp Methaphysic"
8285: PHIL,"Contemp Moral Phily"
8286: PHIL,"Contempo French Phi"
8287: PHIL,"Content In Explantn"
8288: PHIL,"Contmp Moral Theory"
8289: PHIL,"Descartes"
8290: PHIL,"Devel Of Set Theory"
8291: PHIL,"Dir Refer Semantics"
8292: PHIL,"Dissertation Supervision"
8293: PHIL,"Distributive Justce"
8294: PHIL,"Doctoral Dissertation Resch"
8295: PHIL,"Empir Equiv Theorie"
8296: PHIL,"Empiricism"
8297: PHIL,"Epistem/Overcoming"
8298: PHIL,"Epistemology"
8299: PHIL,"Epistemology (Core)"
8300: PHIL,"Esthetics"
8301: PHIL,"Ethics"
8302: PHIL,"Ethics & Business"
8303: PHIL,"Ethics (Core)"
8304: PHIL,"Ethics And Law"
8305: PHIL,"Ethics Law Society"
8306: PHIL,"Ethics Of Belief"
8307: PHIL,"Ethics8308: PHIL,"Ethics/Socwk  9300"
8309: PHIL,"Fdtns Modern Philos"
8310: PHIL,"Fld Sem Ethic Aesthet+Rel Area"
8311: PHIL,"Free Will & Determ"
8312: PHIL,"Frege/Russell/Witt"
8313: PHIL,"Fren Poststructursm"
8314: PHIL,"Godel Reslts/Hilber"
8315: PHIL,"Habermas"
8316: PHIL,"Hegel And Marx"
8317: PHIL,"Hegels Phenomenol"
8318: PHIL,"Heidegger"
8319: PHIL,"Hist Kant To Marx"
8320: PHIL,"Hist Of Logic"
8321: PHIL,"Hist Of Phil-Sem"
8322: PHIL,"History of Philosophy of Art"
8323: PHIL,"Hobbes/Locke/Rousse"
8324: PHIL,"Husserlian Phenomen"
8325: PHIL,"Incomple/Undecidblt"
8326: PHIL,"Independent Study"
8327: PHIL,"Indiv/Collect Agncy"
8328: PHIL,"Induction/Probablty"
8329: PHIL,"Intro To Philosophy"
8330: PHIL,"Ist Order Modal Log"
8331: PHIL,"Kant"
8332: PHIL,"Kant8333: PHIL,"Kant/Crit Pure Resn"
8334: PHIL,"Kant: Crit Pure Rsn"
8335: PHIL,"Kant’S Ethics"
8336: PHIL,"Keirkegaard"
8337: PHIL,"Language/Metaphysic"
8338: PHIL,"Late Mod Phil Std Mid-Late 19c"
8339: PHIL,"Law8340: PHIL,"Lectures on Special Topics"
8341: PHIL,"Leibnitz"
8342: PHIL,"Locke Leibnitz"
8343: PHIL,"Logic"
8344: PHIL,"Logic (Core)"
8345: PHIL,"Logic I"
8346: PHIL,"Logic I  Sect A"
8347: PHIL,"Logic Ii"
8348: PHIL,"MA Capstone"
8349: PHIL,"Marx & Marxism"
8350: PHIL,"Meanng W/Out Meangs"
8351: PHIL,"Medical Ethics"
8352: PHIL,"Medicine/Pro Ethics"
8353: PHIL,"Medieval Philosophy"
8354: PHIL,"Metaphys-Epistemol"
8355: PHIL,"Metaphysics"
8356: PHIL,"Metaphysics (Core)"
8357: PHIL,"Meth Empirical Scien"
8358: PHIL,"Military Ethics"
8359: PHIL,"Mind Consciousness"
8360: PHIL,"Mind/Body Problem"
8361: PHIL,"Modal Logic"
8362: PHIL,"Modal/Intuitn Logic"
8363: PHIL,"Modern Logic"
8364: PHIL,"Modes Of Presentatn"
8365: PHIL,"Modrn Idealism"
8366: PHIL,"Nat Of Abstr Object"
8367: PHIL,"Natural Of Content"
8368: PHIL,"Nature Of Science"
8369: PHIL,"Omission/Respnsblty"
8370: PHIL,"Operat/Pronun/Quant"
8371: PHIL,"Perception"
8372: PHIL,"Phil Analy"
8373: PHIL,"Phil Of History"
8374: PHIL,"Phil Of Lang (Core)"
8375: PHIL,"Phil Of Mathematics"
8376: PHIL,"Phil Of Mind (Core)"
8377: PHIL,"Phil Of Religion"
8378: PHIL,"Phil Of Scienc-Core"
8379: PHIL,"Phil Of Social Scie"
8380: PHIL,"Phil Social Science"
8381: PHIL,"Phil/Language (Cor)"
8382: PHIL,"Phil/Psychoanalysis"
8383: PHIL,"Phil/Social Science"
8384: PHIL,"Philo Of Logic"
8385: PHIL,"Philo Of Soc Scienc"
8386: PHIL,"Philo Psych Science"
8387: PHIL,"Philos Of Mathemat"
8388: PHIL,"Philosop Of Science"
8389: PHIL,"Philosoph/Mathematc"
8390: PHIL,"Philosophy Language"
8391: PHIL,"Philosophy Of Law"
8392: PHIL,"Philosophy Of Mind"
8393: PHIL,"Philosophy of Art Survey"
8394: PHIL,"Philosophy/Language"
8395: PHIL,"Philosophy/Science"
8396: PHIL,"Philsphy Of Science"
8397: PHIL,"Plato"
8398: PHIL,"Plato I"
8399: PHIL,"Plato-Republic Sem"
8400: PHIL,"Plato/Politc Dialog"
8401: PHIL,"Plato:Theaetet/Etal"
8402: PHIL,"Plato’S Republic"
8403: PHIL,"Pol Thy/Ratnl Choic"
8404: PHIL,"Political Economy"
8405: PHIL,"Pre Socratics/Plato"
8406: PHIL,"Prmndes8407: PHIL,"Prob In Aesthetics"
8408: PHIL,"Prob/Induct Infernc"
8409: PHIL,"Prof Ethic: Medicin"
8410: PHIL,"Prospectus & Dissertation Sem"
8411: PHIL,"Punish/Responsblty"
8412: PHIL,"Quine"
8413: PHIL,"Quine & Sellers"
8414: PHIL,"Rationalism"
8415: PHIL,"Readings in Philosophy"
8416: PHIL,"Reason;Moral Psychl"
8417: PHIL,"Reference"
8418: PHIL,"Renaiss Philosophy"
8419: PHIL,"Ruling Passions"
8420: PHIL,"ST: Contemporary Phil Issues"
8421: PHIL,"ST: Ethics Aesthetcs Rel Areas"
8422: PHIL,"ST: Ethics/Aesthetcs/Rel Areas"
8423: PHIL,"ST: Logic & Phil of Science"
8424: PHIL,"ST: Metaphysics & Epistemology"
8425: PHIL,"ST: The History of Philosophy"
8426: PHIL,"ST: the History of Philosophy"
8427: PHIL,"Satre"
8428: PHIL,"Science-Log & Phil"
8429: PHIL,"Scientific Realism"
8430: PHIL,"Search For Meaning"
8431: PHIL,"Self-Know/Externlsm"
8432: PHIL,"Sem Log-Phi Cnc/Str"
8433: PHIL,"Sem Teaching Philos"
8434: PHIL,"Sem: Teaching Philosophy"
8435: PHIL,"Seminar: Teaching Philosophy"
8436: PHIL,"Social Cont Theory"
8437: PHIL,"Social Philosophy"
8438: PHIL,"Social Poltcl (Cor)"
8439: PHIL,"Special Topics"
8440: PHIL,"Stud Mod Phil-Kant"
8441: PHIL,"Subjectivity/Self"
8442: PHIL,"Symbolic Logic"
8443: PHIL,"The Concept Of Law"
8444: PHIL,"Theories"
8445: PHIL,"Theory Of Just War"
8446: PHIL,"Theory Of Knowledg"
8447: PHIL,"Theory Of Knowledge"
8448: PHIL,"Theory/Kant Bentham"
8449: PHIL,"Thesis Supervision"
8450: PHIL,"Truth & Definabilty"
8451: PHIL,"Truth/Intentionalit"
8452: PHIL,"Tutorial"
8453: PHIL,"Tutorial First Term"
8454: PHIL,"Tutorial-2nd Term"
8455: PHIL,"Utilitarianism"
8456: PHIL,"Value/Mrkt/Property"
8457: PHIL,"Wittgenstein"
8458: PHIL,"Wittgenstein I"
8459: PHIL,"Wittgenstein Ii"
8460: PHIL,"Wittgenstein Iii"
8461: PHIL,"Wittgenstein: Phil"
8462: PHTH,"Biofeedback/Intrvntn in Phys T"
8463: PHTH,"Cardiac Rehabilitation"
8464: PHTH,"Clin Ed: Education Theories"
8465: PHTH,"Clinical Affiliation I"
8466: PHTH,"Clinical Affiliation II"
8467: PHTH,"Clinical Affiliation III"
8468: PHTH,"Clinical Affiliation IV"
8469: PHTH,"Clinical Anatomy"
8470: PHTH,"Clinical Anatomy - Lab"
8471: PHTH,"Clinical Anatomy - Lecture"
8472: PHTH,"Clinical Decision Making"
8473: PHTH,"Clinical Medicine for PT"
8474: PHTH,"Colloq in Physical Therapy"
8475: PHTH,"Colloquium Elective P T"
8476: PHTH,"Diff Dgnsis/Intrvntn Clin Neur"
8477: PHTH,"Diff Dgnsis/Intrvntn Clin Orth"
8478: PHTH,"Diff Diag/Intrvntn Clin Orthpd"
8479: PHTH,"Diff Diagnosis & Neuro Eval"
8480: PHTH,"Directed Research IV"
8481: PHTH,"Directed Research V"
8482: PHTH,"Electroneuromyography/Mot Anls"
8483: PHTH,"Foundations Patient Care - Lab"
8484: PHTH,"Foundations Patient Care - Lec"
8485: PHTH,"Hlth Promo Through Lifespan"
8486: PHTH,"Hum Phys & Exercise Phys"
8487: PHTH,"Independent Study"
8488: PHTH,"Integumentary Sys:Assmnt/Intvn"
8489: PHTH,"Intro Muscloskeletal Exam"
8490: PHTH,"Intro PT Practice & Ethics"
8491: PHTH,"Intro to Neurological PT"
8492: PHTH,"Lower Extremity Kines/Assesmnt"
8493: PHTH,"Medical Terminology"
8494: PHTH,"Muscoskel Exam/Intrvntn II"
8495: PHTH,"Musculoskel Exam/Intvrnt III"
8496: PHTH,"Musculoskeletal Examination I"
8497: PHTH,"Neurological Interventions I"
8498: PHTH,"Neurological Interventions II"
8499: PHTH,"Orthotics & Prosthetics"
8500: PHTH,"PT & Prevention Intervention"
8501: PHTH,"Pediatric Developmnt/Assessmnt"
8502: PHTH,"Pharmacology & Systems Review"
8503: PHTH,"Physical Modalities"
8504: PHTH,"Proprioceptive Neuro Fcltation"
8505: PHTH,"Psychosocial Aspects Clin Prac"
8506: PHTH,"Pulmonary Eval/Interventions"
8507: PHTH,"Reasearch Seminar II"
8508: PHTH,"Research Design"
8509: PHTH,"Research Seminar I"
8510: PHTH,"Research Seminar III"
8511: PHTH,"Sem Dept Org & Management"
8512: PHTH,"Structure/Funct of Nerv System"
8513: PHTH,"Topics in Physical Therapy"
8514: PHTH,"Upper Ext Kines/Assmnt - Lab"
8515: PHTH,"Upper Ext Kines/Assmnt - Lec"
8516: PHYS,"Adv Condense Matter"
8517: PHYS,"Adv Element Part"
8518: PHYS,"Adv Group Theory"
8519: PHYS,"Adv Quantum Theory"
8520: PHYS,"Adv Stat Mechanics"
8521: PHYS,"Adv Tech Quant Mech"
8522: PHYS,"Advanced Group Thry"
8523: PHYS,"Advanced Mathematic"
8524: PHYS,"Advanced Theory of Gravitation"
8525: PHYS,"Amorphous Solids"
8526: PHYS,"Analy Mthd In Phys"
8527: PHYS,"Analysis Techniques"
8528: PHYS,"Analytical Dynamics"
8529: PHYS,"Analytical Mechanics"
8530: PHYS,"Appl Quantum Mechan"
8531: PHYS,"Aser Spectroscopy"
8532: PHYS,"Aspts High Tech Ind"
8533: PHYS,"Astrophysics"
8534: PHYS,"Astrophysics I"
8535: PHYS,"Astrophysics II"
8536: PHYS,"Astrophysics III"
8537: PHYS,"Atomic Phys and Quantum Mech"
8538: PHYS,"Atomic Physics"
8539: PHYS,"Atomic/Molec Spectr"
8540: PHYS,"Auger Spectroscopy"
8541: PHYS,"Bio-Molecular Physc"
8542: PHYS,"Biophysics"
8543: PHYS,"Chaos"
8544: PHYS,"Classical Phys Lab"
8545: PHYS,"Comm/Media Skills"
8546: PHYS,"Computat Mthds in Physics"
8547: PHYS,"Computation Methods in Physics"
8548: PHYS,"Condens Matter Phys"
8549: PHYS,"Conducting System"
8550: PHYS,"Continuous Media"
8551: PHYS,"Continuum Mechanics"
8552: PHYS,"Correlat Randm Syst"
8553: PHYS,"Cosmology"
8554: PHYS,"Database Systems Ii"
8555: PHYS,"Dendritic Growth"
8556: PHYS,"Density Func Theory"
8557: PHYS,"Density Matrices"
8558: PHYS,"Dissertation Supervision"
8559: PHYS,"Dissrt Supervision"
8560: PHYS,"Electrcty Magnet 2"
8561: PHYS,"Electricity & Magnetism I"
8562: PHYS,"Electrochemistry"
8563: PHYS,"Electrodynamics"
8564: PHYS,"Electromag Thry I"
8565: PHYS,"Electromagnetic Theory"
8566: PHYS,"Electromagnetic Theory I"
8567: PHYS,"Electron Corelation"
8568: PHYS,"Electron Interacton"
8569: PHYS,"Electron Scattering"
8570: PHYS,"Electronics"
8571: PHYS,"Expr Method In Cond"
8572: PHYS,"Fermion Correlation"
8573: PHYS,"Fluid Mechanics"
8574: PHYS,"Galactc Phy II (Obser Aspects)"
8575: PHYS,"Galactc Phys I (Theor Aspects)"
8576: PHYS,"Gas Optical Prop"
8577: PHYS,"Gauge Theory"
8578: PHYS,"Gen Elec Magnetism"
8579: PHYS,"General Mechanics-Lab"
8580: PHYS,"General Physics"
8581: PHYS,"General Physics I"
8582: PHYS,"General Physics Lab"
8583: PHYS,"General Relativity"
8584: PHYS,"Genreal Physics Ii"
8585: PHYS,"Geophysical Hydrodynamics"
8586: PHYS,"Gradate Lab Revised"
8587: PHYS,"Graduate Lab I"
8588: PHYS,"Graduate Lab II"
8589: PHYS,"Graduate Physics Laboratory"
8590: PHYS,"Graduate Research 2"
8591: PHYS,"Gravity/Suprstrings"
8592: PHYS,"Group Theory"
8593: PHYS,"Group Theory-Physic"
8594: PHYS,"Hi Temp Fluid Phn I"
8595: PHYS,"High Energy Physics"
8596: PHYS,"High Energy Theory"
8597: PHYS,"Hilbert Space/F A"
8598: PHYS,"Independent Studies"
8599: PHYS,"Independent Study"
8600: PHYS,"Interct Molecl/Lite"
8601: PHYS,"Intermediate Energy"
8602: PHYS,"Intermoleculr Force"
8603: PHYS,"Intr Principles/M R"
8604: PHYS,"Intro Group Theory"
8605: PHYS,"Intro to Mathematical Physics"
8606: PHYS,"Intro to Modern Physics I"
8607: PHYS,"Intro to Modern Physics II"
8608: PHYS,"Intro to Quantum Mechanics"
8609: PHYS,"Introduction to Astrophysics"
8610: PHYS,"Introduction to Relativity"
8611: PHYS,"Laboratory 1"
8612: PHYS,"Laboratory Ii"
8613: PHYS,"Laser Experiments"
8614: PHYS,"Laser Interaction"
8615: PHYS,"Laser Optics"
8616: PHYS,"Laser Theory"
8617: PHYS,"Laser-Atom Interact"
8618: PHYS,"Laser/Aton Interact"
8619: PHYS,"Light Scattering"
8620: PHYS,"Magnet/Massbauer"
8621: PHYS,"Magnetic Materials"
8622: PHYS,"Many Body Theory"
8623: PHYS,"Materials Scien Lab"
8624: PHYS,"Math Methods I"
8625: PHYS,"Mathematica For Phy"
8626: PHYS,"Mathematical Methods in Phys"
8627: PHYS,"Mechanics 2"
8628: PHYS,"Micro Quantm Tunnel"
8629: PHYS,"Modern Optic Sem"
8630: PHYS,"Modern Optics"
8631: PHYS,"Modern Physics I"
8632: PHYS,"Modern Physics Laboratory"
8633: PHYS,"Monte Carlo Techniq"
8634: PHYS,"N-Pert Quant Chromo"
8635: PHYS,"Nano and Micro Photonics"
8636: PHYS,"Nanofabrication & Nanodevices"
8637: PHYS,"New Modern Physics"
8638: PHYS,"Non Eq Stat Mech"
8639: PHYS,"Non-Equil State Mec"
8640: PHYS,"Non-Linear Diff Eqt"
8641: PHYS,"Non-Linear Optics"
8642: PHYS,"Non-Linr/Optic Fibr"
8643: PHYS,"Non-linear Optics"
8644: PHYS,"Nuclear Physics"
8645: PHYS,"Nuclear Theory"
8646: PHYS,"Numerical Method"
8647: PHYS,"Numerical Methods"
8648: PHYS,"Numerical Methods I"
8649: PHYS,"Opt Prop Thin Films"
8650: PHYS,"Optic Respon Proper"
8651: PHYS,"Optics"
8652: PHYS,"Optics/Spat Dispers"
8653: PHYS,"Particle Physics"
8654: PHYS,"Path Integrals"
8655: PHYS,"Phase Transitions"
8656: PHYS,"Photoemission"
8657: PHYS,"Photonics"
8658: PHYS,"Phys Of Sputtering"
8659: PHYS,"Physics Grad Lab"
8660: PHYS,"Physics I Lec/Lab"
8661: PHYS,"Physics Ii"
8662: PHYS,"Physics Lab"
8663: PHYS,"Physics for Architects"
8664: PHYS,"Physics of Semiconductors"
8665: PHYS,"Picosec Phen/Conduc"
8666: PHYS,"Plasma Physics"
8667: PHYS,"Prop Thin Films"
8668: PHYS,"Quan Optc & Electrn"
8669: PHYS,"Quantm Field Theory"
8670: PHYS,"Quantm/Supstring Th"
8671: PHYS,"Quantum Electronics"
8672: PHYS,"Quantum Field Thry"
8673: PHYS,"Quantum Hall Effect"
8674: PHYS,"Quantum Information"
8675: PHYS,"Quantum Mechanics"
8676: PHYS,"Quantum Mechanics 2"
8677: PHYS,"Quantum Optics"
8678: PHYS,"Quantum Optics Ii"
8679: PHYS,"Quantum Theory of Fields"
8680: PHYS,"Quantum Theory of Solids"
8681: PHYS,"Raman Scattering"
8682: PHYS,"Randm Proc-Phys/Fin"
8683: PHYS,"Random Processes"
8684: PHYS,"Rdng Crs:Spec Topcs"
8685: PHYS,"Reading"
8686: PHYS,"Reading Course"
8687: PHYS,"Readings"
8688: PHYS,"Readings In Lasers"
8689: PHYS,"Relative/Gravitaton"
8690: PHYS,"Relativstic/Dynamic"
8691: PHYS,"Resonance/Raman"
8692: PHYS,"ST: Advanced Physics"
8693: PHYS,"Sci Career Mngmnt"
8694: PHYS,"Selected Topic"
8695: PHYS,"Selected Topics"
8696: PHYS,"Semiclas Laser Optc"
8697: PHYS,"Semiconductor/Optic"
8698: PHYS,"Semiconductors"
8699: PHYS,"Sol-Gel Processng 2"
8700: PHYS,"Solid State Physics"
8701: PHYS,"Solid State Surface"
8702: PHYS,"Solid State Theory"
8703: PHYS,"Solids/Lite Scatter"
8704: PHYS,"Spec Tpc Conden Mtr"
8705: PHYS,"Spec Tpcs in Adv Physics"
8706: PHYS,"Spec Tpcs:Quant Opt"
8707: PHYS,"Special Topic"
8708: PHYS,"Special Topics"
8709: PHYS,"Spectr Surfac State"
8710: PHYS,"Spectroscop Techniq"
8711: PHYS,"Spectroscopy"
8712: PHYS,"Spin Relaxation"
8713: PHYS,"Sputtering"
8714: PHYS,"Sputtering Physics"
8715: PHYS,"Stat Mech Comp Sys"
8716: PHYS,"Statistical Mechanics"
8717: PHYS,"Statistical Physics"
8718: PHYS,"Stellar Evolution"
8719: PHYS,"Stellar Physics"
8720: PHYS,"Stochastic Methods"
8721: PHYS,"String Theory"
8722: PHYS,"Strong Correl Systm"
8723: PHYS,"Struct Metallurgy"
8724: PHYS,"Superconductivity"
8725: PHYS,"Superstring Theory"
8726: PHYS,"Surface Physics"
8727: PHYS,"Surface Science"
8728: PHYS,"Synchro Rad Resch"
8729: PHYS,"Theoretical Nuclear Physics"
8730: PHYS,"Thermodynamics"
8731: PHYS,"Thin Film Otics"
8732: PHYS,"Thry Relativity & Gravitation"
8733: PHYS,"Transport Phenomena"
8734: PHYS,"Turbulence/Chaos"
8735: PHYS,"Ultra Phenom/Znse"
8736: PHYS,"Ultrafast Optics"
8737: PHYS,"Ultrafst Opt Puls"
8738: PHYS,"Wav Propg/Randm Med"
8739: PHYS,"Wave Prop Randm Med"
8740: PHYS,"Weak Interactions"
8741: PHYS,"X-Ray Diffraction"
8742: POLI,"Elementary Polish 2"
8743: POLI,"Elementary Polish I"
8744: POLI,"Intermediate Polish 2"
8745: POLI,"Intermediate Polish I"
8746: PORT,"Age of Enl & Rom Rev in Portug"
8747: PORT,"Brazilian Fiction of 20c"
8748: PORT,"Brazilian Poetry of 19c & 20c"
8749: PORT,"Camoes & Portuguese Renaiss"
8750: PORT,"Contemp Trends in Braz Literat"
8751: PORT,"Early Braz Lit Stu"
8752: PORT,"Eca de Queiroz & Realistic Nov"
8753: PORT,"Elementary Portuguese"
8754: PORT,"Elementary Portuguese II"
8755: PORT,"Fernando Pessoa & Contemp Poet"
8756: PORT,"Gil Vicente & Peninsular Thea"
8757: PORT,"History of Portuguese Theatre"
8758: PORT,"Indianist Mvmnt in Braz Liter"
8759: PORT,"Intensive Intermediate"
8760: PORT,"Intermed Portuguese I"
8761: PORT,"Lit Of Port Expan"
8762: PORT,"Machado De Assis"
8763: PORT,"Machado de Assis & Novel 19c"
8764: PORT,"Med Galician-Portuguese Poetry"
8765: PORT,"Modernist Mvmnt in Braz Letter"
8766: PORT,"Poetry of the 16c & 17c"
8767: PORT,"Portuguese"
8768: PORT,"Portuguese Medieval Prose"
8769: PORT,"Portuguese Novel of the 20c"
8770: PORT,"Probs In Translatn"
8771: PORT,"Prose of the 16c & 17c"
8772: PORT,"Romance Language"
8773: PORT,"ST: Brazilian Literataure I"
8774: PORT,"ST: Brazilian Literature II"
8775: PORT,"ST: Portuguese Literature I"
8776: PORT,"ST: Portuguese Literature II"
8777: PORT,"The Brazilian Romantic Movemnt"
8778: PORT,"Translation:Port-Engl&Eng-Port"
8779: POSC,"Administrative Behavior"
8780: POSC,"Adv Tutorial in Am Politics"
8781: POSC,"Africa8782: POSC,"Amer Pol Sys: Natl Institutns"
8783: POSC,"Amer Pol Sys:State/Local Inst"
8784: POSC,"Amer Welfare State"
8785: POSC,"Amercn Socty Critic"
8786: POSC,"America as a Developing Nation"
8787: POSC,"American Political Development"
8788: POSC,"American Political Thought"
8789: POSC,"American Politics"
8790: POSC,"American Welfare State"
8791: POSC,"Americn Foregn Poly"
8792: POSC,"Ancient/Medieval Pol Thought"
8793: POSC,"Antonio Gramsci"
8794: POSC,"Aristotle"
8795: POSC,"Asian Political Thought"
8796: POSC,"China"
8797: POSC,"Chinese Foreign Policy"
8798: POSC,"Chinese Forgn Pol"
8799: POSC,"Cities & New Fedls"
8800: POSC,"City/Class/Power"
8801: POSC,"Citzn Commun Partic"
8802: POSC,"Civil Disobedience"
8803: POSC,"Cmpr Pol Wkshop -"
8804: POSC,"Cntmp Intl Politics"
8805: POSC,"Communism"
8806: POSC,"Communist Political Systems"
8807: POSC,"Comp Analy For Pol Sel Countr"
8808: POSC,"Comp Analy Internatl Organztns"
8809: POSC,"Comp Foreign Pol"
8810: POSC,"Comp State Politics"
