10740: ACCT,"Accounting for the S.E.C"
12674: GEOL,"Earth Evolution"
12675: GEOL,"Earth Evolution Laboratory"
12676: GEOL,"Earth History"
12677: GEOL,"Earth History Laboratory"
12678: GEOL,"Earth Materials"
12679: GEOL,"Earth Materials and Resources"
12680: GEOL,"Earth Processes"
12681: GEOL,"Earth Processes Laboratory"
12682: GEOL,"Earth Science for Educators"
12683: GEOL,"Earth Sys Sci-Eductr"
12684: GEOL,"Envior.Impact Asses."
12685: GEOL,"Environmental Biogeochemistry"
12686: GEOL,"Environmental Geology"
12687: GEOL,"Environmental Hydrology"
12688: GEOL,"Erth/Envir.Sci - Gis"
12689: GEOL,"Field Problems in Geology"
12690: GEOL,"Fossils12691: GEOL,"Geologic Field Methods"
12692: GEOL,"Geology in Art and Society"
12693: GEOL,"Global Plate Dynamics"
12694: GEOL,"Honors in Geology"
12695: GEOL,"Independent Study in Geology"
12696: GEOL,"Intro Geo Field Mapping Tech"
12697: GEOL,"Introductory Paleontology"
12698: GEOL,"Micropaleontology"
12699: GEOL,"Mineralogy"
12700: GEOL,"Nat Hzrds & Dis: Multidisc App"
12701: GEOL,"Natural Hazards &Disasters Lab"
12702: GEOL,"Oceanographic Resrch"
12703: GEOL,"Oceans"
12704: GEOL,"Optical Mineralogy"
12705: GEOL,"Petrology"
12706: GEOL,"Plate Geotectonics"
12707: GEOL,"Principles of Geomorphology"
12708: GEOL,"Processes of Global Change"
12709: GEOL,"Seminar"
12710: GEOL,"Stratigraphy and Sedimentology"
12711: GEOL,"Structural Geology"
12712: GEOL,"Top Region Geo & Map Technqs"
12713: GEOL,"Topics in Earth Science"
12714: GEOL,"Topics in Geology"
12715: GEOL,"Topics in Geology12716: GEOL,"Weather and Climate"
12717: GEOL,"Weather and Climate Laboratory"
12718: GEOL,"X-ray Crystallography"
12719: GEOP,"Advanced Remote Sensing"
12720: GEOP,"Basic Map: Applctns & Analysis"
12721: GEOP,"Biogeography"
12722: GEOP,"Biogeography and GISc"
12723: GEOP,"Bsc Mapping: Applic & Analysis"
12724: GEOP,"Cartography & Graph Prsntion I"
12725: GEOP,"Cartography & Graphic Pres II"
12726: GEOP,"Data Acquisition&Methods GIS"
12727: GEOP,"Data Acquistion Gis"
12728: GEOP,"Data Acquit&Integrat GIS Anayl"
12729: GEOP,"Demog&Pop Geog /Gisc"
12730: GEOP,"Digital Image Analysis"
12731: GEOP,"Emerg Iss & Mthds in G.I. Sci"
12732: GEOP,"Emerging Methods & Techniques"
12733: GEOP,"Envir Health & Geo Info Sci"
12734: GEOP,"Fld Inv Mthds Reg Physical Geo"
12735: GEOP,"Geographc Info Systm"
12736: GEOP,"Geography of Urban Health"
12737: GEOP,"Geostats &Spatial Analytical"
12738: GEOP,"Geovisual & Analytical Carto"
12739: GEOP,"Geovisual&Analytic Cartography"
12740: GEOP,"Independent Study in Geography"
12741: GEOP,"Intro to Digital Data-Env Sci"
12742: GEOP,"Intro to Environmental Science"
12743: GEOP,"Intro to Programming for GISc"
12744: GEOP,"Introduction to Remote Sensing"
12745: GEOP,"Meth.Sem. In Gis"
12746: GEOP,"Natural Hazard & Risk Analysis"
12747: GEOP,"Physical Geography"
12748: GEOP,"Prin & Apps in Remote Sensing"
12749: GEOP,"Prin Geogrp Info Sci"
12750: GEOP,"Quant & Qual Mthds Hist & Cult"
12751: GEOP,"Quant/Qual Meth Hist/Cult GISc"
12752: GEOP,"Raster Analysis"
12753: GEOP,"Raster Applications"
12754: GEOP,"Sem & Internship in Geography"
12755: GEOP,"Sem &Intern-Geogrphy"
12756: GEOP,"Spat Stats & Adv Quant Mthds"
12757: GEOP,"Spatial AnalysisofUrban Health"
12758: GEOP,"Spatial Database Management"
12759: GEOP,"Spc Tpc-Geo Info Sys"
12760: GEOP,"Special Proj in Geo Info Sys"
12761: GEOP,"Studies in Geographic Sciences"
12762: GEOP,"Thesis Research in GISc"
12763: GEOP,"Topi in Reg Geog&App Analysis"
12764: GEOP,"Urban Environmental Management"
12765: GEOP,"Urban Gisc"
12766: GEOP,"Water Rsrcs12767: GEOP,"Weather and Climate"
12768: GEOP,"Weather and Climate Laboratory"
12769: GEOP,"Wkshp in G.I. Sci Rsrch"
12770: GERM,"Advanced German Composition"
12771: GERM,"Advanced German Conversation"
12772: GERM,"Aspects Ger Cult-Eng"
12773: GERM,"Aspects of German Culture"
12774: GERM,"Brecht Plays & Sources in Eng"
12775: GERM,"Comparative Grammar"
12776: GERM,"Contemp German Lit in English"
12777: GERM,"Elem German-Intensv"
12778: GERM,"Elemen German Reading II"
12779: GERM,"Elementary German I"
12780: GERM,"Elementary German II"
12781: GERM,"Faust (In English)"
12782: GERM,"Ger Drama-20th Cent"
12783: GERM,"Ger Prose-19th Cent"
12784: GERM,"Ger Prose-20th Cent"
12785: GERM,"German Authors In Eng Trans"
12786: GERM,"German Civilization"
12787: GERM,"German Drama XIX Cent"
12788: GERM,"German Films (In English)"
12789: GERM,"German Literature I"
12790: GERM,"German Literature II"
12791: GERM,"German Literature on Records"
12792: GERM,"German Lyric Poetry"
12793: GERM,"German Reading Course"
12794: GERM,"German Writers"
12795: GERM,"German Writrs In Eng"
12796: GERM,"Germn Lit In English"
12797: GERM,"Goethe"
12798: GERM,"Goethe’s Faust"
12799: GERM,"Honors Project"
12800: GERM,"Ind Stdy Germanc Lng"
12801: GERM,"Indep Study in Drama & Theatre"
12802: GERM,"Indiv Adv Foreign Lang Stdy"
12803: GERM,"Int.Foreignlang Stud"
12804: GERM,"Intermed German Convers"
12805: GERM,"Intermediate German"
12806: GERM,"Intro to German Literature"
12807: GERM,"Mod Ger &Scand Drama"
12808: GERM,"Mod Scand Prose Engl"
12809: GERM,"Proseminar"
12810: GERM,"Rdng Expositry Prose"
12811: GERM,"Seminar"
12812: GERM,"Special Studies"
12813: GERM,"Survey of German Literature"
12814: GERM,"Topcs&Themes Ger Lit"
12815: GERM,"Translatn Ger To Eng"
12816: GERM,"Tutorial"
12817: GERM,"Tutorial in German"
12818: GREK,"Aeschylus"
12819: GREK,"Aristophanes"
12820: GREK,"Comparative Grammar"
12821: GREK,"Elem. Ancient Greek"
12822: GREK,"Elementary Greek II"
12823: GREK,"Euripides"
12824: GREK,"Greek Lyric Poetry"
12825: GREK,"Greek Prose Authors"
12826: GREK,"Homer Hymns & Hesiod Poet"
12827: GREK,"Homer: The Iliad"
12828: GREK,"Homer’s Odyssey"
12829: GREK,"Honors Research"
12830: GREK,"Indiv Adv Foreign Lan Study"
12831: GREK,"Indiv Intermed For Lang Stdy"
12832: GREK,"Intermediate Greek Tutorial"
12833: GREK,"Intro Anc Greek 2"
12834: GREK,"Introduction Ancient Greek I"
12835: GREK,"New Testament Greek"
12836: GREK,"Plato"
12837: GREK,"Plato: The Trial of Socrates"
12838: GREK,"Prose Comp & Stylistc"
12839: GREK,"Sophocles"
12840: GREK,"The Attic Orators"
12841: GREK,"Thucydides"
12842: GREK,"Tutorial"
12843: GREK,"Xenophon"
12844: HEBR,"Advanced Hebrew"
12845: HEBR,"American Jewish History"
12846: HEBR,"Ancient Jewish History"
12847: HEBR,"Ancient&Medieval Hebraic Lit"
12848: HEBR,"Anti-Semitism In His"
12849: HEBR,"Bib Hist & Archaelog"
12850: HEBR,"Bib Lit Pentateuch"
12851: HEBR,"Bib Lit-Hist Books"
12852: HEBR,"Bib Lit-Prophtc Bks"
12853: HEBR,"Biblical Lit: Hagio-grapha"
12854: HEBR,"Contemporary Hebrew Prose"
12855: HEBR,"Cul Found Mod Israel"
12856: HEBR,"Elem Yiddish-Intensv"
12857: HEBR,"Elementary Hebrew I"
12858: HEBR,"Elementary Hebrew II"
12859: HEBR,"Elementary Yiddish I"
12860: HEBR,"Elementary Yiddish II"
12861: HEBR,"Hebrew Conversation I"
12862: HEBR,"Hebrew Conversation II"
12863: HEBR,"Hebrew Grammar and Composition"
12864: HEBR,"Honors Project"
12865: HEBR,"Indiv Adv Foreign Lang Study"
12866: HEBR,"Indiv Intermed For Lang Stdy"
12867: HEBR,"Intermediate Hebrew Tutorial"
12868: HEBR,"Intermediate Yiddish I"
12869: HEBR,"Intermediate Yiddish II"
12870: HEBR,"Intro to Jewish Philosophy"
12871: HEBR,"Jew Trad Mdrn Frnch & Germ Lit"
12872: HEBR,"Jews In Middle Ages"
12873: HEBR,"Jews Spain&Seph Dspr"
12874: HEBR,"Jews of Tsarist/Soviet Russia"
12875: HEBR,"Job Eccl&Humn Predic"
12876: HEBR,"Med Heb Phil Texts"
12877: HEBR,"Medievel Literature"
12878: HEBR,"Mod Heb Renaissance"
12879: HEBR,"Modern Hebrew Lit"
12880: HEBR,"Modern Jewish Hstory"
12881: HEBR,"Msterpcs Yiddish Lit In Trans"
12882: HEBR,"Rdng Mod Heb Lit In Trans"
12883: HEBR,"Seminar"
12884: HEBR,"Talmudic Literature"
12885: HEBR,"The Hebrew Prophets"
12886: HEBR,"The Holocaust"
12887: HEBR,"The Modern Hebrew Essay"
12888: HEBR,"The Modern Hebrew Novel"
12889: HEBR,"The Modern Hebrew Short Story"
12890: HEBR,"The World of the Old Testament"
12891: HEBR,"Topics in Judaic Studies"
12892: HEBR,"Tutorial in Hebrew"
12893: HEBR,"Yiddish Independent Studies"
12894: HEPI,"US Hlthcare:Careers-Unique Sys"
12895: HESA,"Admin Sklls Hlth Srvs Orgs II"
12896: HESA,"Coding for Ambulatory Care"
12897: HESA,"Comput Applc-Hea Srv"
12898: HESA,"Contemporary Health Issues"
12899: HESA,"Finances-Heath Care Admin"
12900: HESA,"Hlth Srvcs Admin Intrnshp Exp"
12901: HESA,"Hlth Svcs Admin Intrshp"
12902: HESA,"Honors-Hea Srv Admin"
12903: HESA,"Hum Resrc Mgt-Hlth Srvs"
12904: HESA,"ICD-9-CM Coding I"
12905: HESA,"ICD-9-CM Coding II"
12906: HESA,"Indep Study In Hsa"
12907: HESA,"Intro to Interprofessional Edu"
12908: HESA,"Long-Term Care Administration"
12909: HESA,"Managed Health Care"
12910: HESA,"Mgmt of Hlth Orgs"
12911: HESA,"Nursing Home Administration"
12912: HESA,"Oper Analysis-Health Delivery"
12913: HESA,"Qlty Imprvmnt in Hlth Svc Orgs"
12914: HESA,"Rescrh&Prg Eval-HSA"
12915: HESA,"Semin Hlth Serv Admn"
12916: HESA,"Strat Mgmt: Hlt Pln Comp Env"
12917: HESC,"Alchl Tob&Othr Drugs"
12918: HESC,"App Med&Hea Cre Trm"
12919: HESC,"Biostatistics"
12920: HESC,"CPR/AED Basic Life Support"
12921: HESC,"Community Org&Health Education"
12922: HESC,"Contemporary Health Problems"
12923: HESC,"Curr Develop Health Edu"
12924: HESC,"Drug Probs Schl&Comm"
12925: HESC,"Drugs and Substance Abuse"
12926: HESC,"Educational Strategies Health"
12927: HESC,"Envir/Protect Health"
12928: HESC,"Environmental Health"
12929: HESC,"Epidemiology"
12930: HESC,"Family and Community Health"
12931: HESC,"Field Experience in Health Edu"
12932: HESC,"Foundations of Health"
12933: HESC,"Fund Biosta-Hea Prof"
12934: HESC,"Grp Dynmcs In Hea Ed"
12935: HESC,"Health Appraisal"
12936: HESC,"Health Counseling"
12937: HESC,"Health Lit in Age of New Media"
12938: HESC,"Health and Aging"
12939: HESC,"His &Phi-Hea Ed Prom"
12940: HESC,"Hlth Prbs & Issu Contemp Socty"
12941: HESC,"Honors"
12942: HESC,"Human Behavior and Health"
12943: HESC,"Human Sexuality"
12944: HESC,"Independent Study in Health Ed"
12945: HESC,"Internship-Community Health I"
12946: HESC,"Introduction to Public Health"
12947: HESC,"Latino Health"
12948: HESC,"Legal Issues in Health Care"
12949: HESC,"Legal/Ethical Iss in Hlth Care"
12950: HESC,"Masters Comprehensve"
12951: HESC,"Mental Hlth In U.S. Iss & Srvs"
12952: HESC,"Mntl Health and Class Teacher"
12953: HESC,"Mod Adv In Hea Scien"
12954: HESC,"Nutrition and Chronic Diseases"
12955: HESC,"Nutrition and Health"
12956: HESC,"Org & Adm Of Hea Edu"
12957: HESC,"Parenting and Child Health"
12958: HESC,"Perspectives on AIDS"
12959: HESC,"Perspectives on Death & Dying"
12960: HESC,"Perspectives on HIV/AIDS"
12961: HESC,"Prog Plang & Evaluat"
12962: HESC,"Prog Pln&Eval-Hea Ed"
12963: HESC,"Qualitative Research Methods"
12964: HESC,"Research Meth In Health Educ"
12965: HESC,"Resrch Techn In Hea"
12966: HESC,"Safety Edu&First Aid"
12967: HESC,"Safty Ed-2nd Sch&Col"
12968: HESC,"School and Community Health"
12969: HESC,"Selected Topics in Health"
12970: HESC,"Sem Urban Health Prbms"
12971: HESC,"Sem-Dseas Prev&Cntrl"
12972: HESC,"Seminar in Community Health"
12973: HESC,"Seminar in Current Research"
12974: HESC,"Seminar in Human Sexuality"
12975: HESC,"Sexuality Counseling"
12976: HESC,"Special Projects"
12977: HESC,"Special Topics in Health"
12978: HESC,"Strat Nutr Education"
12979: HESC,"Strtgs-Comm Hlth & Promotion"
12980: HESC,"Tching Strat Hlth:Disease&Disb"
12981: HESC,"Tching Strat Hlth:Hth Prom Beh"
12982: HESC,"Tching Strategies Health"
12983: HESC,"Teaching Strtgs-Community Hlth"
12984: HESC,"Thesis"
12985: HESC,"US Health Care Del System"
12986: HESC,"Women and Health"
12987: HISA,"Anc Sci To Sci Revol"
12988: HISA,"Ancient Jewish History"
12989: HISA,"Ancient and Medival History"
12990: HISA,"Biblical Hist&Archae"
12991: HISA,"Classical Myth and Society"
12992: HISA,"England in the Middle Ages"
12993: HISA,"Greek History"
12994: HISA,"Grk Archae Class Per"
12995: HISA,"His Rel.Ancient Wrld"
12996: HISA,"Hist Jews Spain & Seph Disp"
12997: HISA,"History of Ancient Greece"
12998: HISA,"History of Rome"
12999: HISA,"Jews During Mid Ages"
13000: HISA,"Life&Society in the Mid Ages"
13001: HISA,"Roman Archae & Topog"
13002: HISA,"Semi Ancient & Medieval Hist"
13003: HISA,"The Early Christians"
13004: HISA,"Topics Ancient & Medieval Hist"
13005: HISA,"Topics:Anc &Medieval"
13006: HISA,"Tutorl-Anc & Medievl"
13007: HISA,"Women in Antiquity"
13008: HISE,"19th Cen Europ Intell History"
13009: HISE,"19thcen.Eur Intel.Hs"
13010: HISE,"Age Of Cntr-Refrmtn"
13011: HISE,"Age Of Countr-Reform"
13012: HISE,"Brit Age Industrial & Empire"
13013: HISE,"Britain In 20th Cent"
13014: HISE,"Britain Industry and Empire"
13015: HISE,"Early Russian History"
13016: HISE,"Eur in Renaissance Reformation"
13017: HISE,"Europe 20th Century"
13018: HISE,"Europe Age of Enlightenment"
13019: HISE,"Europe Renaissance Reformation"
13020: HISE,"Europe in Age of Enlightenment"
13021: HISE,"Europe&Non-West Wrld19-20 Cen"
13022: HISE,"Europe13023: HISE,"Fashion and History"
13024: HISE,"Fren Rev & Napoleon"
13025: HISE,"Germany from Bismarck-Hitler"
13026: HISE,"Germany/Bismrc-Hitlr"
13027: HISE,"Golden-Age Spain"
13028: HISE,"Hist & Sci Descartes-Darwin"
13029: HISE,"Hist of Rel in Ancient World"
13030: HISE,"History of European Diplomacy"
13031: HISE,"History of Modern France"
13032: HISE,"History of Spain"
13033: HISE,"Hitler Nazi Neo Fasc"
13034: HISE,"Ideas & 20th Cen.Eur"
13035: HISE,"Ideas&Ideol 20c Eur."
13036: HISE,"Intro Hist of Sci Descartes"
13037: HISE,"Italy from Napoleon -Mussolini"
13038: HISE,"Modern Ireland"
13039: HISE,"Modern Russian History"
13040: HISE,"Soc.&Cul.Renai.Italy"
13041: HISE,"The Enlightenment"
13042: HISE,"The French Revolution&Napoleon"
13043: HISE,"The Holocaust"
13044: HISE,"Topics in European History"
13045: HISE,"Topics-Modern Europe"
13046: HISE,"Tudor-Stuart England"
13047: HISE,"Tutorial Mod Europe"
13048: HISE,"XX Century Britain"
13049: HIST,"Adv Tutorl Comp Hist"
13050: HIST,"Adv.Tutorial Project"
13051: HIST,"African History"
13052: HIST,"Ancient Civilization"
13053: HIST,"Anti-Semitism In His"
13054: HIST,"Capstone Project"
13055: HIST,"Civilizations Ancient World"
13056: HIST,"Cntmp Europn History"
13057: HIST,"Contemporary European History"
13058: HIST,"Crises Of Our Time"
13059: HIST,"Early Modern Europe13060: HIST,"East Asian Civilization"
13061: HIST,"Foundations of The US"
13062: HIST,"Foundations of the US"
13063: HIST,"Foundatns Of The Us"
13064: HIST,"Hist Sci Fr Descarte"
13065: HIST,"Hist of Dominican Rep"
13066: HIST,"History of African Americans"
13067: HIST,"History of Mexico"
13068: HIST,"History of Puerto Rico"
13069: HIST,"Ind Tut Prjct Comp Hist"
13070: HIST,"Independent Reading"
13071: HIST,"Intro Hist Of Biolog"
13072: HIST,"Intro Tutorial in Hist"
13073: HIST,"Islamic Civilization"
13074: HIST,"Latin America & Caribbean I"
13075: HIST,"Latin America & Caribbean II"
13076: HIST,"Masters Comprehnsive"
13077: HIST,"Master’s Thesis Preparation"
13078: HIST,"Medieval Civilization"
13079: HIST,"Medieval Civilizatn"
13080: HIST,"Modern U.S. History"
13081: HIST,"Modern United States History"
13082: HIST,"Modrn Jewish History"
13083: HIST,"Pirates:Glob Hist Law&Commerce"
13084: HIST,"Science and Society"
13085: HIST,"Science in the XX Cent"
13086: HIST,"Seminar in Comparative History"
13087: HIST,"Seminar in History"
13088: HIST,"The Ascent of Man"
13089: HIST,"The Irish Diaspora"
13090: HIST,"The Literature of History"
13091: HIST,"The Military History of WWI"
13092: HIST,"The Military History of WWII"
13093: HIST,"Top in Africian History13094: HIST,"Topics in Comparative History"
13095: HIST,"Tops:Carib His13096: HIST,"Understanding History"
13097: HIST,"Understandng History"
13098: HIST,"Understnding History"
13099: HIST,"World Revolutions"
13100: HISU,"Am For.Rel 1912-Pres"
13101: HISU,"Amer Constit-Hstorcl"
13102: HISU,"American Business History"
13103: HISU,"American Constitution"
13104: HISU,"American Economic History"
13105: HISU,"American Jewish History"
13106: HISU,"American Religious History"
13107: HISU,"American Urban History"
13108: HISU,"Amr For Rel1750-1912"
13109: HISU,"Black Nationalism"
13110: HISU,"Black Panther Women&Gender Pol"
13111: HISU,"Civil War & Reconstr"
13112: HISU,"Civil War & Reconstruction"
13113: HISU,"Colonial British Am."
13114: HISU,"Colonial Britsh Amer 1586-1763"
13115: HISU,"Dem13116: HISU,"Early Amer Cult & Intell His"
13117: HISU,"Era Am.Revol13118: HISU,"Era of Amer Rev 1763-1789"
13119: HISU,"Erly Am.Cult&Int.His"
13120: HISU,"Gild Age & Prog Era 1877-1914"
13121: HISU,"Gilded Age &Prog Era"
13122: HISU,"Hist Amer For Rel 1750-1912"
13123: HISU,"Hist Amer For Rel 1912-Present"
13124: HISU,"Hist Amer Presidency"
13125: HISU,"Hist Hlth Care in U.S."
13126: HISU,"Hist Ny City & State"
13127: HISU,"Hist of African American Women"
13128: HISU,"History Of The Bronx"
13129: HISU,"History of African Amer Women"
13130: HISU,"History of American Labor"
13131: HISU,"History of American Presidency"
13132: HISU,"History of Health Care US"
13133: HISU,"History of Italian-Americans"
13134: HISU,"History of NYC and State"
13135: HISU,"History of Women in America"
13136: HISU,"Immigration in America"
13137: HISU,"Mod.Am.Cultr&Intlhis"
13138: HISU,"Protest in America"
13139: HISU,"Recent U.S. Hist 1945-Present"
13140: HISU,"Recent US History 1945-Present"
13141: HISU,"Sexuality & Sex Role"
13142: HISU,"Sexuality&Sex Roles in America"
13143: HISU,"The Civil Rights Movement"
13144: HISU,"The Early Republic13145: HISU,"The Family in American History"
13146: HISU,"The Harlem Renaissance"
13147: HISU,"The United States13148: HISU,"Top:Afri Amer His&Cu"
13149: HISU,"Topics in American History"
13150: HISU,"Tutorial Proj American History"
13151: HISU,"US from WWI to WWII13152: HISU,"Us & Viet Nam War"
13153: HISU,"Us & Vietnam War"
13154: HISU,"Us His/Historiogrphy"
13155: HISW,"19c Lat American His"
13156: HISW,"Colonial Latin America"
13157: HISW,"Comp Hist of Hispan Carib"
13158: HISW,"Contemporary Islamic Movements"
13159: HISW,"East Asia in the Modern World"
13160: HISW,"Eur&Non-West Wrld 19-20th Cent"
13161: HISW,"His Women & Soc Islamic M.E."
13162: HISW,"His.Of Afr.1800-Pr."
13163: HISW,"Hist of Africa 1800-Present"
13164: HISW,"Hist of Chinese Civilization"
13165: HISW,"Hist/Historiography"
13166: HISW,"History Chinese Civilization"
13167: HISW,"History of Africa to 1800"
13168: HISW,"History of Cuba"
13169: HISW,"History of Modern China"
13170: HISW,"History of Modern Japan"
13171: HISW,"History of South America"
13172: HISW,"Jews Tsarist&Sov Rus"
13173: HISW,"Lat Am & US from 1823-Present"
13174: HISW,"Latin Amer & U.S. 1823-Present"
13175: HISW,"Latin Amer 19 Centur"
13176: HISW,"Modern Latin America"
13177: HISW,"Modern Middle Eastern History"
13178: HISW,"Ottoman History"
13179: HISW,"Religion in Hispaniola"
13180: HISW,"Religion in Hispaniola:"
13181: HISW,"Slavery Lat Am&Carib"
13182: HISW,"Soc & Eco Hist Of Pr"
13183: HISW,"The Arab-Israeli Conflict"
13184: HISW,"The History of Modern Japan"
13185: HISW,"The Mexican Revolution"
13186: HISW,"Top Africa Hist13187: HISW,"Topics Caribb Hist13188: HISW,"Topics in Non-Western History"
13189: HISW,"Tutorial Non-Western"
13190: HRPS,"Anthropology and Human Rights"
13191: HRPS,"Fundamentals of Human Rights"
13192: HRPS,"Intrnshp Humn Rights & Peace"
13193: HRPS,"Spe Top: Humn Rts & Peace Stds"
13194: HUMA,"Adv Indiv Tut Prjct Cty & Humn"
13195: HUMA,"City & Humanities 2"
13196: HUMA,"City and Humanities II"
13197: HUMA,"Fndtns In City&Human"
13198: HUMA,"Found in the City & Humanities"
13199: HUMA,"Foundation In City & Human"
13200: HUMA,"Foundations City & Humanities"
13201: HUMA,"Humanities Internship"
13202: HUMA,"Humanities: An Intro"
13203: HUMA,"Interdisciplinary Program"
13204: HUMA,"Intro to Performing Arts"
13205: HUMA,"Opera as Literature"
13206: HUMA,"Selct Probs-Humanits"
13207: HUMA,"Selected Topics"
13208: HUMA,"The City & The Thtre"
13209: HUMA,"The City and the Humanities I"
13210: HUMA,"The City and the Humanities II"
13211: HUMA,"The City and the Theatre"
13212: IAST,"Italy Today"
13213: IAST,"Spec Proj Italian-Amer Stds"
13214: IAST,"The Italian American Community"
13215: IAST,"The Italian-American Community"
13216: IAST,"Tpcs Ital-Amer Stdys"
13217: IBAP,"Capstone Seminar"
13218: IBAP,"Colloquium"
13219: IBAP,"Honors Tutorial"
13220: IBAP,"Interd Stud-Art & Lit Express"
13221: IBAP,"Interdsc Stds People & Culture"
13222: IBAP,"Intrdscplnry Stds-Glob&Loc Iss"
13223: IBAP,"Intrdscplnry Stds-Pwr13224: IBAP,"Intrdscplnry Stds-Science Lit"
13225: IBAP,"Learn about Learn: Adult Sem"
13226: IBAP,"Liberal and Interdisciplinary"
13227: IBAP,"Prior Lrnng Assssmnt:Port Dev"
13228: INTE,"Capstone Project"
13229: INTE,"Freshman Seminar"
13230: INTE,"General Education Capstone"
13231: INTE,"Independent Reading"
13232: INTE,"Introduction to Liberal Arts"
13233: INTE,"Lib Arts in Sci & Prof Pract"
13234: INTE,"Master’s Thesis Preparation"
13235: INTE,"Pre-Health Capstone"
13236: INTE,"Special Stud Pol Sci/Intrnship"
13237: INTE,"Stds Philo13238: INTE,"Stds Scientific&App Perspec"
13239: INTE,"Stdy in Humanites & Soc Sci"
13240: INTE,"Studies in Historical Studies"
13241: INTE,"Studies in Literature"
13242: INTE,"Studies in the Arts"
13243: INTE,"Studies the Humanities&Science"
13244: INTE,"The Amer. Experience"
13245: INTE,"The Arts and Humanities"
13246: INTE,"The Humanities"
13247: INTE,"The Liberal Arts"
13248: INTE,"The Natural Sciences"
13249: INTE,"The Social Sciences"
13250: IRIS,"Adv Grammar and Composition"
13251: IRIS,"Adv.Foreignlang.Stud"
13252: IRIS,"Advanced Conversation"
13253: IRIS,"Comparative Grammar"
13254: IRIS,"Contemporary Irish-Lang Novel"
13255: IRIS,"Conversational Irish"
13256: IRIS,"Elementary Irish I"
13257: IRIS,"Elementary Irish II"
13258: IRIS,"Elementary Irish III"
13259: IRIS,"Elementary Irish IV"
13260: IRIS,"Elementary Irish: Intensive"
13261: IRIS,"Folklore in the Irish Language"
13262: IRIS,"Independent Study"
13263: IRIS,"Indiv Intermed For Lang Stdy"
13264: IRIS,"Intermed Irish Reading & Comp"
13265: IRIS,"Intermediate Irish Grammar"
13266: IRIS,"Intro to Irish Short Story"
13267: IRIS,"Introduction to Lit Studies"
13268: IRIS,"Irish for Reading Knowledge"
13269: IRIS,"Irish-Lang Poetry 20th Century"
13270: IRIS,"Irish-Language Cinema"
13271: IRIS,"Irish-Language Theatre"
13272: IRIS,"Mirtn  Cadhain’s Cr na Cil"
13273: IRIS,"Spec Topics in Irish-Lang Lit"
13274: IRIS,"Special Topics in Old Irish"
13275: IRIS,"Tut Irish Lang&Lit"
13276: IRIS,"Tutorial in Irish Lang & Lit"
13277: ITAL,"Adv Grammar & Comp"
13278: ITAL,"Advanced Conversation"
13279: ITAL,"Advanced Seminar"
13280: ITAL,"Advanced Translation"
13281: ITAL,"Boccaccio in Translation"
13282: ITAL,"Comparative Grammar"
13283: ITAL,"Contemp Ital Theatre"
13284: ITAL,"Conversational Italian"
13285: ITAL,"Dante-Div Comed-Engl"
13286: ITAL,"Dante’s Vita Nuova and Inferno"
13287: ITAL,"Disguises & Rev: Italian Cmdy"
13288: ITAL,"Divina Commed-Infern"
13289: ITAL,"Divina Commed-Purgat"
13290: ITAL,"Elementary Italian I"
13291: ITAL,"Elementary Italian II"
13292: ITAL,"Elementary Italian III"
13293: ITAL,"Honors Course in Italian"
13294: ITAL,"Identity: Modern Italian Novel"
13295: ITAL,"Ind Int Foreign Language Study"
13296: ITAL,"Indiv Adv Foreign Lang Stdy"
13297: ITAL,"Intermed Ital Reading & Comp"
13298: ITAL,"Intermed Studies-Ita"
13299: ITAL,"Intermediate Italian Grammar"
13300: ITAL,"Internship"
13301: ITAL,"Intro to Literary Studies"
13302: ITAL,"Ital Short Story 16c"
13303: ITAL,"Italian Cinema"
13304: ITAL,"Italian Civilization I"
13305: ITAL,"Italian Civilization II"
13306: ITAL,"Italian Culture"
13307: ITAL,"Italian Dialectology&Socioling"
13308: ITAL,"Italian Lit XVII & XVIII Cent"
13309: ITAL,"Italian Poetry of 19th Century"
13310: ITAL,"Italian for Business"
13311: ITAL,"Italian for Gen Rdng Purposes"
13312: ITAL,"Italn Poetry-20 Cent"
13313: ITAL,"Italo-American Contributions"
13314: ITAL,"Italy Today"
13315: ITAL,"Machiavelli in Translation"
13316: ITAL,"Mastrpcs Italian Lit"
13317: ITAL,"Petrarca’s Love Poetry"
13318: ITAL,"Pirandello in Translation"
13319: ITAL,"Poetry & Humanism of Petrarch"
13320: ITAL,"Renaiss Chivr Poetry"
13321: ITAL,"Renaissance Prose Writers"
13322: ITAL,"Romantc Ita Novelsts"
13323: ITAL,"Spec Topics-Italian Literature"
13324: ITAL,"The Contemporary Italian Novel"
13325: ITAL,"The Paradiso"
13326: ITAL,"The Purgatorio"
13327: ITAL,"Thry&Pra Ita Phonetc"
13328: ITAL,"Tutorial"
13329: JAPA,"Classcs-Japanese Lit"
13330: JAPA,"Japanese Literature & Culture"
13331: JOUR,"Adv.Print Jrnl Wkshp"
13332: JOUR,"Advanced Internship"
13333: JOUR,"Advertising"
13334: JOUR,"Business Reporting and Writing"
13335: JOUR,"Corp.Media & Commun."
13336: JOUR,"Covering Race13337: JOUR,"Digital Photojournalism"
13338: JOUR,"Entertain Report/Wri"
13339: JOUR,"Feature Writing"
13340: JOUR,"Honors Colloquium-Journalism"
13341: JOUR,"Honors Tutorial in Journalism"
13342: JOUR,"Ind Project in Journalism"
