65077: ACCT,"Accounting 100-Level Elective"
67157: HIST,"Ancient Near East"
67158: HIST,"Archive Internship"
67159: HIST,"Asian American History"
67160: HIST,"Asian Civilization"
67161: HIST,"Asian Tigers since 1945"
67162: HIST,"Black Thought African Diaspora"
67163: HIST,"Blk Thgt Afrn Diaspo"
67164: HIST,"Brit Hst/1700-1900"
67165: HIST,"Brit Hst/Post 1900"
67166: HIST,"Byzantine Thougt&Civ"
67167: HIST,"Chinese Civilization"
67168: HIST,"Classcl&Hellistc His"
67169: HIST,"Colonialism & African Exper"
67170: HIST,"Comparative Ancient Religion"
67171: HIST,"Comparative Urban History"
67172: HIST,"Contemporary African Issues"
67173: HIST,"Early Mod Eur Hist"
67174: HIST,"Early Modern England"
67175: HIST,"Early Modern Europe"
67176: HIST,"Economic Hist of Soviet Russia"
67177: HIST,"Environmental History"
67178: HIST,"Eur Disc Amerca 1492"
67179: HIST,"Eur Hist From Ren"
67180: HIST,"Europe Since 1815"
67181: HIST,"Foundations of Modern Society"
67182: HIST,"Freshman Seminar in History"
67183: HIST,"Garvey And Dubois"
67184: HIST,"Gender/Consciousness"
67185: HIST,"Greece"
67186: HIST,"Greek and Roman Mythology"
67187: HIST,"HST Independent Study"
67188: HIST,"Hist Of Nineteenth-Cent Europe"
67189: HIST,"Hist Of The South"
67190: HIST,"Hist Of Us Education"
67191: HIST,"Hist Themes & Interp"
67192: HIST,"Hist of The Balkans: 1453-Pres"
67193: HIST,"Historical Method"
67194: HIST,"Historicl Research"
67195: HIST,"Histories of Sexuality iModWrl"
67196: HIST,"Historiography"
67197: HIST,"History Credit"
67198: HIST,"History Elective Credit"
67199: HIST,"History Grad Credit"
67200: HIST,"History Graduate Credit"
67201: HIST,"History Ind Study"
67202: HIST,"History Independent Study"
67203: HIST,"History Internship"
67204: HIST,"History of Africa"
67205: HIST,"History of American Women"
67206: HIST,"History of Christianity"
67207: HIST,"History of Italy"
67208: HIST,"History of Modern India"
67209: HIST,"History of Modern Russia"
67210: HIST,"History of N.Y.C."
67211: HIST,"History of New York"
67212: HIST,"History of Science"
67213: HIST,"History of Staten Island"
67214: HIST,"History of Work"
67215: HIST,"History of the Caribbean"
67216: HIST,"History of the U.S. City"
67217: HIST,"Holocaust in European History"
67218: HIST,"Hst Relgn Antquity"
67219: HIST,"Imperial Russia"
67220: HIST,"Imperialism"
67221: HIST,"Individ/Society Ancient Greece"
67222: HIST,"Intro Archiv Studies"
67223: HIST,"Intro Archival Stdy"
67224: HIST,"Intro Women’S Hist"
67225: HIST,"Introduction To Museum Studies"
67226: HIST,"Islam: Religion and Culture"
67227: HIST,"Italian American History"
67228: HIST,"Japanese Civilization"
67229: HIST,"Jewish History"
67230: HIST,"Late Imperial China"
67231: HIST,"Ma Portfolio Prep Seminar"
67232: HIST,"Medieval Cities"
67233: HIST,"Medieval England"
67234: HIST,"Medieval Russia"
67235: HIST,"Medieval Thought"
67236: HIST,"Medievl Inherit I"
67237: HIST,"Medievl Inherit II"
67238: HIST,"Medv Blkns 1204-1481"
67239: HIST,"Mod Latin America"
67240: HIST,"Modern China"
67241: HIST,"Modern English History"
67242: HIST,"Modern Germany"
67243: HIST,"Modern Japan"
67244: HIST,"Modern World War"
67245: HIST,"Movemnts/Indep Afrca"
67246: HIST,"Museum Studies"
67247: HIST,"Nazi Germany"
67248: HIST,"New Approaches to History"
67249: HIST,"Nineteenth-Century Europe"
67250: HIST,"Ny City Hst & Prob"
67251: HIST,"Oral Hst Mthds67252: HIST,"Past and Present"
67253: HIST,"Peoples and Cultures of Africa"
67254: HIST,"Pirates in the Early Mod World"
67255: HIST,"Preparation of Thesis Proposal"
67256: HIST,"Problems Amer City"
67257: HIST,"Progressive Era"
67258: HIST,"Project Seminal"
67259: HIST,"Psycho-History"
67260: HIST,"Public Hst Practicum/Intern"
67261: HIST,"Reacting to the Past"
67262: HIST,"Religion in America"
67263: HIST,"Renaisnce/Refrmatn"
67264: HIST,"Resistance and Rev in Lat Amer"
67265: HIST,"Revolutns Analysis"
67266: HIST,"Roman Repub&Imp Hist"
67267: HIST,"Russ Rev 1917-1991"
67268: HIST,"Seminar in Public History"
67269: HIST,"Semnar/Adv Hst Study"
67270: HIST,"Soc&Pol Ideologies Mod World"
67271: HIST,"Soc/Pol Mod Europe"
67272: HIST,"Society and Culture in the US"
67273: HIST,"Soviet Union&Russia"
67274: HIST,"Spain and Its World67275: HIST,"THE HIST OF 20th CENT EUROPE"
67276: HIST,"The 1960s in Europe"
67277: HIST,"The African Diaspora"
67278: HIST,"The American Dream"
67279: HIST,"The Atlantic World"
67280: HIST,"The Classical Inheritance"
67281: HIST,"The Cold War"
67282: HIST,"The Hist of Amer Immigration"
67283: HIST,"The Late Antique World"
67284: HIST,"The Middle East and Europe"
67285: HIST,"The Modern Middle East"
67286: HIST,"The Recovery of Women’s Past"
67287: HIST,"The Roman World"
67288: HIST,"The Silk Road"
67289: HIST,"The Supreme Court"
67290: HIST,"The World Since 1900"
67291: HIST,"The World of Tokugawa Japan"
67292: HIST,"The World of the 21st Century"
67293: HIST,"Themes Am Women Hist"
67294: HIST,"Themes in Byzantine History"
67295: HIST,"Themes in U.S Hist: 1914-1945"
67296: HIST,"Thesis Tutorial Seminar"
67297: HIST,"Topics Ancient/Medieval Hist"
67298: HIST,"Topics Latin American History"
67299: HIST,"Topics Modern European History"
67300: HIST,"Topics in Caribbean History"
67301: HIST,"Topics in U.S. History to 1865"
67302: HIST,"Topics in US Hist from 1865"
67303: HIST,"Tp Anc Eur Medtrn Hs"
67304: HIST,"Tp Erly Mod Eur Hst"
67305: HIST,"Tp Med Eur&Medtrn Hs"
67306: HIST,"Tpcs Eur Hist To Ren"
67307: HIST,"Tpcs Hist East Asia"
67308: HIST,"Tpcs Hist Mid East"
67309: HIST,"Tpcs Hist Of Africa"
67310: HIST,"Tpcs Hist South Asia"
67311: HIST,"Tudor and Stuart History"
67312: HIST,"U S  Hist Since 1945"
67313: HIST,"U S Foreign Policy"
67314: HIST,"U S His: 1607-1865"
67315: HIST,"U.S. History Since 1865"
67316: HIST,"U.S. History to 1865"
67317: HIST,"U.S. History: 1900-1940"
67318: HIST,"US History:1865-Present"
67319: HIST,"US Hst:First Encounters to Pre"
67320: HIST,"United States Economic History"
67321: HIST,"United States’ Origins"
67322: HIST,"Urban America Blacks"
67323: HIST,"Us Themes 1607-1788"
67324: HIST,"Ushst Them 1877-1914"
67325: HIST,"Vietnam At War&Peace"
67326: HIST,"Vietnam and America: 1945-1975"
67327: HIST,"War & Soc/Mod Amer"
67328: HIST,"War and Society"
67329: HIST,"West & World: Africa/Eur"
67330: HIST,"West & Wrld:Crs Cult Encounter"
67331: HIST,"West Civ To 1500"
67332: HIST,"West Civilization since 1500"
67333: HIST,"West Eurp 400-1000ce"
67334: HIST,"White Men/Indians"
67335: HIST,"Women Hst/Fem Theory"
67336: HIST,"Women in Latin America"
67337: HIST,"World Civilization I"
67338: HIST,"World Civilization II"
67339: HIST,"World War II"
67340: HIST,"Your Parents’ America"
67341: HONS,"Amer Exp:Humanities"
67342: HONS,"Amer Exp:Soc Science"
67343: HONS,"Hnr Sem Hum/Soc Sci"
67344: HONS,"Hon Hum/Soc Sci Sem"
67345: HONS,"Hon Sem:Ques Phil"
67346: HONS,"Honors Indep Study"
67347: HONS,"Honors Independent Study"
67348: HONS,"Honors Seminar in the Sciences"
67349: HONS,"Hum Soc Sci Ind Sty"
67350: HONS,"Inter Disc Res Semin"
67351: HONS,"Interd Hnrs Seminar"
67352: HONS,"Interdis Honor Res I"
67353: HONS,"Non-U.S. Exp: Humanities"
67354: HONS,"Science and Tech in NYC"
67355: HONS,"Shaping Future NYC"
67356: HONS,"The Arts in New York City"
67357: HONS,"The Non-Wstrn Exp: Soc Sci"
67358: HONS,"The Peopling of New York"
67359: HONS,"Western Exp:Humaniti"
67360: HONS,"Western Exp:Soc Sci"
67361: HUMA,"10  Ooo"
67362: HUMA,"Eur Disc Amerca 1492"
67363: HUMA,"Ind Stdy-Lat Amer"
67364: INSI,"Bus Intell & Analytics"
67365: INSI,"Computational Problem Solving"
67366: INSI,"Data Comm & IT Infrastructure"
67367: INSI,"Electronic Health Records Mgt"
67368: INSI,"Enterprise Comp Strategies"
67369: INSI,"ISI Independent Study"
67370: INSI,"Info Sec & Risk Management"
67371: INSI,"Info Structures for Business"
67372: INSI,"Info Systems Project Mgt"
67373: INSI,"Info Systems for Healthcare"
67374: INSI,"Intro to Systems Analysis"
67375: INSI,"Proj in Info Syst and Inform"
67376: INST,"Aspects Cont China"
67377: INST,"Carribbean  Societies"
67378: INST,"Chinese Diaspora Dev"
67379: INST,"Contemporary Global Issues"
67380: INST,"Gender Contemp Wrld"
67381: INST,"Global Cultures"
67382: INST,"Globalization & World System"
67383: INST,"International Independent Stud"
67384: INST,"International Internship"
67385: INST,"International Studies"
67386: INST,"Internatl Ind Stdy"
67387: INST,"Internatnal Intern"
67388: INST,"Internatnal Intrnshp"
67389: INST,"Intn’L Stdy Educator"
67390: INST,"Latin American Perspectives"
67391: INST,"Policing & Mass Incarceration"
67392: INST,"Power & Society Latin America"
67393: INST,"Senior Sem Intl Stdy"
67394: INST,"Social Move & Social Justice"
67395: INST,"The African Diasp: Inter Persp"
67396: INST,"The African Diaspora: Interdis"
67397: INST,"The Israel-Palestine Conflict"
67398: INTE,"90  Ooo"
67399: ITAL,"Advanced Communication Skills"
67400: ITAL,"Amer In Ital Lit"
67401: ITAL,"Basic Italian I"
67402: ITAL,"Basic Italian II"
67403: ITAL,"Continuing Italian I"
67404: ITAL,"Continuing Italian II"
67405: ITAL,"Dante"
67406: ITAL,"Gender in Italian Literature"
67407: ITAL,"History of Italian Cinema"
67408: ITAL,"Honors in Italian"
67409: ITAL,"Intensive Italian I"
67410: ITAL,"Intensive Italian II"
67411: ITAL,"Ital 19th Cent Lit"
67412: ITAL,"Ital Exper In Americ"
67413: ITAL,"Ital Field Experienc"
67414: ITAL,"Italian Civilizatn"
67415: ITAL,"Italian Conversation I"
67416: ITAL,"Italian Conversation II"
67417: ITAL,"Italian Ind Study"
67418: ITAL,"Italian Independent Study"
67419: ITAL,"Italian Internship"
67420: ITAL,"Italian Literary Renaissance"
67421: ITAL,"Italian Literature"
67422: ITAL,"Italian Theatre"
67423: ITAL,"Italian for Native Speakers"
67424: ITAL,"Lit Srvy II: Mdrn Italian Stds"
67425: ITAL,"Lit Survey I: Mdvl/Renaissance"
67426: ITAL,"Medieval and Renaissance Lit"
67427: ITAL,"Medieval&Renaissance Lit"
67428: ITAL,"Modern & Contemporary Literat"
67429: ITAL,"Modern Italian Literature"
67430: ITAL,"Structure Of Italian"
67431: ITAL,"Structures of Italian"
67432: ITAL,"Themes Mod & Contemp Ital Lit"
67433: KORE,"Kor Ooo"
67434: LACS,"Caribbean Societies"
67435: LACS,"Eur Disc Amerca 1492"
67436: LACS,"History of the Caribbean"
67437: LACS,"Intro Latinx Stud thr Hum"
67438: LACS,"Latin American Perspectives"
67439: LACS,"Latin American Politics"
67440: LACS,"Latina/o Media"
67441: LACS,"Latinas/os In the U.S."
67442: LACS,"Lit Hispanic Caribbean"
67443: LACS,"Media and the Margins"
67444: LACS,"Mod Latin America"
67445: LACS,"Modern Art in Latin America"
67446: LACS,"New Performance"
67447: LACS,"Power & Society Latin America"
67448: LACS,"Resistance and Rev in Lat Amer"
67449: LACS,"Span Soc and Lit through 1700"
67450: LACS,"Span-Am Short Stry"
67451: LACS,"Span-Amer Theatre in 20th Cent"
67452: LACS,"Span-American Civ"
67453: LACS,"Spanish American Lit &Cult  II"
67454: LACS,"Spanish American Literature"
67455: LACS,"Spn Am Lit Mod-Xxi"
67456: LACS,"Spn Am Poetry Xxicnt"
67457: LACS,"Spn Am Soc&Lit Modrn"
67458: LACS,"The Atlantic World"
67459: LACS,"The Geo of Lat Amer & Caribbea"
67460: LACS,"The Geography of Drugs"
67461: LACS,"The Mdrn Span-Amer Novel"
67462: LACS,"Transatlantic Cinema"
67463: LACS,"Varieties of Spoken Spanish"
67464: LACS,"Women in Latin America"
67465: LANG,"19  Ooo"
67466: LANG,"Anglophone Arab Literature"
67467: LANG,"Arabic Literature in Translati"
67468: LANG,"Aspects of Contemporary China"
67469: LANG,"Basic Japanese I"
67470: LANG,"Contemporary European Drama"
67471: LANG,"Culture - France"
67472: LANG,"Culture - Germany"
67473: LANG,"Culture - Spain"
67474: LANG,"Culture II -Japan"
67475: LANG,"European Lit and Trans"
67476: LANG,"Exempt Foreign Language"
67477: LANG,"Gender & Sexu in China & Japan"
67478: LANG,"Global Literature II"
67479: LANG,"Intro to Latinx Studies"
67480: LANG,"Lab Techniques"
67481: LANG,"Lang Acqui&Psycholin"
67482: LANG,"Lang Contrst Eng&Chn"
67483: LANG,"Lang/Airline Pers"
67484: LANG,"Language Credit"
67485: LANG,"Language Ind Study"
67486: LANG,"Language Independent Study"
67487: LANG,"Language Internship"
67488: LANG,"Latin American Culture"
67489: LANG,"Major World Author I"
67490: LANG,"Major World Author II"
67491: LANG,"Major World Author III"
67492: LANG,"Oriental Culture I"
67493: LANG,"Postcolonial Literature"
67494: LANG,"Postwar Italian Cinema"
67495: LANG,"Spanish Ind Study"
67496: LANG,"The African Diasp: Inter Persp"
67497: LANG,"The African Diaspora: Interdis"
67498: LANG,"U.S Lit In Comparative Texts"
67499: LANG,"Us Fict. Early North Amer Lit"
67500: LANG,"Western European Culture-Italy"
67501: LANG,"Wmn Europe Lit after Renaiss"
67502: LANG,"Women Euro Lit to Renaissance"
67503: LANG,"Women in European Literature"
67504: LAST,"98  Ooo"
67505: LATI,"Basic Latin I"
67506: LATI,"Basic Latin II"
67507: LATI,"Continuing Latin I"
67508: LATI,"LAT Independent Study"
67509: LIBT,"Beyond Google: Research for Co"
67510: LIBT,"Beyond Google; Res for Coll Su"
67511: LIBT,"Information Access"
67512: LING,"16 Oooo"
67513: LING,"Ana and Phys for Speech Scienc"
67514: LING,"Audiology"
67515: LING,"Computer Sci & Linguistics"
67516: LING,"Eng Lang Tchg & Lrng"
67517: LING,"English Independent Study"
67518: LING,"First Language Acquisition"
67519: LING,"History of English"
67520: LING,"Introduction to Language"
67521: LING,"Introduction to Linguistics"
67522: LING,"LING Independent Study"
67523: LING,"Language Change"
67524: LING,"Linguistic Diversity"
67525: LING,"Linguistics Independent Study"
67526: LING,"Modern English Grammar"
67527: LING,"Phonetic And Phonol Disorders"
67528: LING,"Phonetics"
67529: LING,"Phonology I"
67530: LING,"Phonology II"
67531: LING,"Psycholinguistics"
67532: LING,"Second Language Learning"
67533: LING,"Semantics and Pragmatics"
67534: LING,"Sign Language Linguistics"
67535: LING,"Sociolinguistics"
67536: LING,"Sociology of Language"
67537: LING,"Speech Science"
67538: LING,"Syntax I"
67539: LING,"Syntax II"
67540: LING,"The Grammar of Words"
67541: LING,"The Structure of Words"
67542: LING,"Word and Sentence Prosody"
67543: LIST,"Ancient Roots Modern Thought"
67544: LIST,"Industrial Food in Modern Soc"
67545: LIST,"Intro Res Interdisc"
67546: LIST,"Lib Stdies Ind Stdy"
67547: LIST,"Lib Stdy Ind Study"
67548: LIST,"Lib Stud Grad Levl"
67549: LIST,"Liberal Stdy Grad Cr"
67550: LIST,"MALS _ LBS"
67551: LIST,"Master’s Essay Tutorial"
67552: LIST,"Modern Culture"
67553: LIST,"Modern Society"
67554: LIST,"Roots of Modern Culture"
67555: LIST,"Roots of Modern Society"
67556: LIST,"Thesis Research & Writing Prep"
67557: LIST,"Values/Contemp Issue"
67558: LIST,"West/Nonwest Worlds"
67559: MANA,"Administrative Law"
67560: MANA,"Applied Sports Management"
67561: MANA,"Business Policy"
67562: MANA,"Business Reports"
67563: MANA,"Business67564: MANA,"Capstone Business Simulation"
67565: MANA,"Collective Bargaining Process"
67566: MANA,"Credit"
67567: MANA,"Fundamentals Sports Management"
67568: MANA,"Global Business Strategy"
67569: MANA,"Grad Mgt Ind Stdy"
67570: MANA,"Grad Mgt Ind Study"
67571: MANA,"Healthcare Management"
67572: MANA,"Human Resource Administration"
67573: MANA,"Industrial Managment"
67574: MANA,"Intellectual Propert Mgmt"
67575: MANA,"International Management"
67576: MANA,"Intro to Entrepreneurial Think"
67577: MANA,"Introduction to Econometrics"
67578: MANA,"Labor Relations"
67579: MANA,"Leadership & Organization"
67580: MANA,"Management Independent Study"
67581: MANA,"Management Internship"
67582: MANA,"Management Internshp"
67583: MANA,"Management Process"
67584: MANA,"Management Seminar"
67585: MANA,"Management of World Resources"
67586: MANA,"Managemnt Ind Stdy"
67587: MANA,"Managerial Dec Making & Applic"
67588: MANA,"Managerial Statstics"
67589: MANA,"Organizational Theory & Mngmt"
67590: MANA,"Organizaton Behavior"
67591: MANA,"Production Management"
67592: MANA,"Public Administration"
67593: MANA,"Public Policy Analysis"
67594: MANA,"Sem Cont Bus Topics"
67595: MANA,"Services Marketing & Mgt"
67596: MANA,"Small Business Management"
67597: MANA,"Sports Management"
67598: MANA,"Strategic Hum Resource Mgmt"
67599: MANA,"The Administrative Process"
67600: MAOM,"Main Matriculated Grad"
67601: MAOM,"Maintain Matriculation GRAD"
67602: MARK,"Advanced Marketing Strategy I"
67603: MARK,"Advanced Marketing Strategy II"
67604: MARK,"Advertising"
67605: MARK,"Advertising Buying Strategy"
67606: MARK,"Advertising Copy & Production"
67607: MARK,"Business-to-Business Marketing"
67608: MARK,"Consumer Behavior"
67609: MARK,"Grad MKT Independent Study"
67610: MARK,"Grad Mkt Ind Stdy"
67611: MARK,"Integrated Marketing Design"
67612: MARK,"International Marketing"
67613: MARK,"Internet Marketing"
67614: MARK,"Marketing"
67615: MARK,"Marketing Ind Stdy"
67616: MARK,"Marketing Independent Study"
67617: MARK,"Marketing Internship"
67618: MARK,"Marketing Intership"
67619: MARK,"Marketing Management"
67620: MARK,"Marketing Research"
67621: MARK,"Marketing Seminar"
67622: MARK,"Merchandise Info"
67623: MARK,"Personal Sell & Sales Mgt"
67624: MARK,"Principles of Selling"
67625: MARK,"Retail Advertising"
67626: MARK,"Retail Buying"
67627: MARK,"Retail Selling"
67628: MARK,"Retailing"
67629: MARK,"Retailing & Channels of Distr"
67630: MARK,"Sales Management"
67631: MARK,"Services Marketing & Mgt"
67632: MARK,"Strategic Marketing Management"
67633: MARK,"Transportation Management"
67634: MATH,"Abstract Algebra I"
67635: MATH,"Abstract Algebra II"
67636: MATH,"Accelerated Calculus I"
67637: MATH,"Accelerated Calculus II"
67638: MATH,"Actuarial Science"
67639: MATH,"Advanced Calculus I"
67640: MATH,"Advanced Calculus II"
67641: MATH,"Advanced Statistics"
67642: MATH,"Alg/Trig Computr Lab"
67643: MATH,"Algorithmic Algbra"
67644: MATH,"Anal Geom-Calc I"
67645: MATH,"App Mth For Comp Sci"
67646: MATH,"App Stat Mthd Hlth"
67647: MATH,"Applied Finite Math"
67648: MATH,"Applied Math I"
67649: MATH,"Applied Mathematical Analysis"
67650: MATH,"Applied Mth Sec Schl"
67651: MATH,"Applied Stats Using Computers"
67652: MATH,"Basic Mathematics"
67653: MATH,"CUNYStart Math"
67654: MATH,"Calc Sec Schl Teach"
67655: MATH,"Calculus Computer Laboratory"
67656: MATH,"Calculus I with Pre-Calculus"
67657: MATH,"Calculus II"
67658: MATH,"Calculus III"
67659: MATH,"Cmbinatorics/Graphs"
67660: MATH,"Coll Alg & Trig"
67661: MATH,"College Algebra and Trigonomet"
67662: MATH,"Complex Analysis"
67663: MATH,"Cryptology"
67664: MATH,"Development of Mathematics"
67665: MATH,"Differential Equations"
67666: MATH,"Disc Mth Model-Tchrs"
67667: MATH,"Discrte Mth Comp Sci"
67668: MATH,"Elem Algebra"
67669: MATH,"Elementary Algebra"
67670: MATH,"Elements of Intermediate Algeb"
67671: MATH,"Finite Mathematics"
67672: MATH,"Foundations of Mathematics"
67673: MATH,"Foundations of Number Theory"
67674: MATH,"Functions & Models in Coll Alg"
67675: MATH,"Functions of Complex Variables"
67676: MATH,"Fundamentals of Mathematics I"
67677: MATH,"Fundamentals of Mathematics II"
67678: MATH,"Geometry"
67679: MATH,"Geometry Foundatns"
67680: MATH,"Geometry-Teachers"
67681: MATH,"Hist Of Math Thought"
67682: MATH,"Hst Persp Mth Topics"
67683: MATH,"Immersion Math Part I Workshop"
67684: MATH,"Immersion Math Workshop"
67685: MATH,"Immersion Math20 LAMPAS"
67686: MATH,"Intermediate Algebra"
67687: MATH,"Intro Math Modeling"
67688: MATH,"Intro To Cryptology"
67689: MATH,"Intro to Differential Geometry"
67690: MATH,"Intro to Mathematical Modeling"
67691: MATH,"Intro to Mathematical Proof"
67692: MATH,"Introduction to Probability an"
67693: MATH,"Linear Algebra"
67694: MATH,"Linear Programming"
67695: MATH,"Machine Learning"
67696: MATH,"Math & Environment"
67697: MATH,"Math Concepts I"
67698: MATH,"Math Concepts II"
67699: MATH,"Math Express"
67700: MATH,"Math For Liberal Arts Students"
67701: MATH,"Math Grad Credit"
67702: MATH,"Math Immersion"
67703: MATH,"Math Ind Study"
67704: MATH,"Math Independent Study"
67705: MATH,"Math Internship"
67706: MATH,"Math Statistics"
67707: MATH,"Math Topics"
67708: MATH,"MathStart Course"
67709: MATH,"Mathematical Biology"
67710: MATH,"Mathematical Ideas"
67711: MATH,"Mathematical Logic"
67712: MATH,"Mathematical Statistics I"
67713: MATH,"Mathematical Statistics II"
67714: MATH,"Mathematics of Finance"
67715: MATH,"Mathematics-Tchers"
67716: MATH,"Medical Dosage Calculations"
67717: MATH,"Mod Algebra-Elem Teachers"
67718: MATH,"Nonlinear Dynamics and Chaos"
67719: MATH,"Number Theory"
67720: MATH,"Numerical Analysis"
67721: MATH,"Numerical Methods"
67722: MATH,"Numricl Anal-Tchrs"
67723: MATH,"Operations Research"
67724: MATH,"Partial Differentl Equations"
67725: MATH,"Partial Diffntl Equa"
67726: MATH,"Pre-Calculus Mathematics"
67727: MATH,"Prob Theory & Stoch Process"
67728: MATH,"Prob Thry for Sec Schl Tchrs"
67729: MATH,"Probab Theor & intro Math Stat"
67730: MATH,"Probab/Mth Stat Intr"
67731: MATH,"Probab/Statistics"
67732: MATH,"Proofs and Explorations"
67733: MATH,"Select Top in Intermed Algebra"
67734: MATH,"Set Theory"
67735: MATH,"Statistics"
67736: MATH,"Stats for Secondary Schl Tchrs"
67737: MATH,"Tech Calculus II"
67738: MATH,"Technical Calc I"
67739: MATH,"Technical Calculus"
67740: MATH,"Theory of Topology"
67741: MATH,"Thinking Mathematically"
67742: MATH,"Topology"
67743: MDTC,"Blood Transfusion Technology"
67744: MDTC,"Clin Hosp Prac III"
67745: MDTC,"Clin Hosp Pract II"
67746: MDTC,"Clinical Chemistry Training"
67747: MDTC,"Clinical Hosp Prac I"
67748: MDTC,"Clinical Microbiology Training"
67749: MDTC,"Clinical Microscopy Training"
67750: MDTC,"Clinical Parasitology"
67751: MDTC,"Clinical Parasitology Training"
67752: MDTC,"Clinical Science"
67753: MDTC,"Cytology"
67754: MDTC,"Cytotechnology Training I"
67755: MDTC,"Cytotechnology Training II"
67756: MDTC,"Diagnostic Molecular Biology"
67757: MDTC,"Hematolgy Training"
67758: MDTC,"Hematology"
67759: MDTC,"Histotechnology Training I"
67760: MDTC,"Histotechnology Training II"
67761: MDTC,"Hospital Laboratory Practice"
67762: MDTC,"Immuno-Hematology Training"
67763: MDTC,"Laboratory Ops & Mgmt"
67764: MDTC,"Med Tech Ind Study"
67765: MDTC,"Med Tech Intrnship"
67766: MDTC,"Medical Mycology"
67767: MDTC,"Medical Tech. Comp. Review"
67768: MDTC,"Medical Technology Ind Study"
67769: MDTC,"Medical Technology Internship"
67770: MDTC,"Medical Technology Training I"
67771: MDTC,"Medical Technology Training II"
67772: MDTC,"Nuclear Medicine Training I"
67773: MDTC,"Nuclear Medicine Training II"
67774: MDTC,"Radiochemistry & Radiochem An"
67775: MDTC,"Serology-Immunology Training"
67776: MELS,"ASCP Comprehensive Review"
67777: MELS,"Clinic:microb/parasit/mycology"
67778: MELS,"Clinical Hematology"
67779: MELS,"Clinical Laboratory Chemistry"
67780: MELS,"Clinical Microbiology"
67781: MELS,"Clinical Training:  Blood Bank"
67782: MELS,"Clinical Training: Chemistry"
67783: MELS,"Clinical:Hematology/Coag."
67784: MELS,"Clinical:Immunology/Serology"
67785: MELS,"Clinical:Urinalysis/Body Fluid"
67786: MELS,"Diagnostic Molecular Biology"
67787: MELS,"Immunohematology"
67788: MELS,"Immunology/Serology"
67789: MELS,"Lab Operations and Mgmt"
67790: MELS,"Medical Technology Training I"
67791: MELS,"Medical Technology Training II"
67792: MELS,"Parasitology/Mycology/Virology"
67793: MELS,"Urinalysis/Body Fluids"
67794: MESG,"13 Ooo"
67795: MESG,"99  Ooo"
67796: MUSI,"20th Century Music"
67797: MUSI,"American Musical Theater"
67798: MUSI,"Arranging for Jazz Ensemble"
67799: MUSI,"Audio for Moving Images"
67800: MUSI,"Baroque Era Music"
67801: MUSI,"Beginners Piano I"
67802: MUSI,"Beginners Piano II"
67803: MUSI,"Brass"
67804: MUSI,"Chamber Mus Hist&Lit"
67805: MUSI,"Chorus I"
67806: MUSI,"Chorus II"
67807: MUSI,"Chorus III"
67808: MUSI,"Chorus IV"
67809: MUSI,"Classic Era Music"
67810: MUSI,"Classic Guitar I"
67811: MUSI,"Classical Guitar II"
67812: MUSI,"Collegium Music I"
67813: MUSI,"Collegium Music II"
67814: MUSI,"Composing in the Popular Idiom"
67815: MUSI,"Composition I"
67816: MUSI,"Composition II"
67817: MUSI,"Conducting"
67818: MUSI,"Counterpoint"
67819: MUSI,"Counterpoint II"
67820: MUSI,"Eighth-Semester Pvt Lessons"
67821: MUSI,"Ensemble I"
67822: MUSI,"Ensemble II"
67823: MUSI,"Ensemble III"
67824: MUSI,"Ensemble IV"
67825: MUSI,"Fifth-Semester Private Lessons"
67826: MUSI,"First-Semester Private Lessons"
67827: MUSI,"Fourth Sem Prv Les"
67828: MUSI,"Guitar Ensemble I"
67829: MUSI,"Guitar Ensemble II"
67830: MUSI,"Guitar Ensemble III"
67831: MUSI,"Guitar Ensemble IV"
67832: MUSI,"Hist&Lit Of Opera"
67833: MUSI,"Improvisation"
67834: MUSI,"Innovators in Jazz"
67835: MUSI,"Instrumentation and Scoring"
67836: MUSI,"Inter Jazz/Rock II"
67837: MUSI,"Introduction to Jazz History"
67838: MUSI,"Introduction to Music History"
67839: MUSI,"Introduction to Music Theory"
67840: MUSI,"Jazz Combo"
67841: MUSI,"Jazz Compositiion And Analysis"
67842: MUSI,"Jazz Ensemble I"
67843: MUSI,"Jazz Ensemble II"
67844: MUSI,"Jazz Ensemble III"
67845: MUSI,"Jazz Ensemble IV"
67846: MUSI,"Jazz Harmony"
67847: MUSI,"Jazz Performance Techniques"
67848: MUSI,"Jazz Repertoire Combo"
67849: MUSI,"Junior Project (Composition)"
67850: MUSI,"Junior Project (Performance)"
67851: MUSI,"Junior Project Research"
67852: MUSI,"Keyboard Musicianship I"
67853: MUSI,"Keyboard Musicianship II"
67854: MUSI,"Keyboard Musicianship III"
67855: MUSI,"Keyboard Musicianship IV"
67856: MUSI,"Literature and Music"
67857: MUSI,"Major Composer I"
67858: MUSI,"Major Composer II"
67859: MUSI,"Modal Counterpoint"
67860: MUSI,"Multi Track Mix Mast"
67861: MUSI,"Multitrack Recordg I"
67862: MUSI,"Multitrack Recording"
67863: MUSI,"Multitrk Mix & Mstr"
67864: MUSI,"Music Credit"
67865: MUSI,"Music History I"
67866: MUSI,"Music History II"
67867: MUSI,"Music History III"
67868: MUSI,"Music History IV"
67869: MUSI,"Music Ind Study"
67870: MUSI,"Music Independent Study"
67871: MUSI,"Music Internship"
67872: MUSI,"Music Technology"
67873: MUSI,"Music Theory I"
67874: MUSI,"Music Theory II"
