17084: ACCT,"Acc Applications On Microcomp"
19196: SPAN,"Spn & Lat Text/Film"
19197: SPAN,"Story In Spn Carrib"
19198: SPAN,"Story In Spn Carrib (Honors)"
19199: SPAN,"Sur Spanish Lit I"
19200: SPAN,"Sur Spanish Lit II"
19201: SPAN,"Survey of Span-Amer Literature"
19202: SPAN,"XX Cent Span-Amer Lit"
19203: SPEE,"Advanced Public Speaking"
19204: SPEE,"Fund Public Speak Non-Native"
19205: SPEE,"Fund of Public Speaking"
19206: SPEE,"Fund of Public Speaking (Honor"
19207: SPEE,"Intro Contemp Media"
19208: SPEE,"Oral Interpretation"
19209: SPEE,"Oral Interpretation (Honors)"
19210: SPEE,"SPE Directed Study"
19211: SPEE,"Spe Directed Study"
19212: SPEE,"Speech Directed Study"
19213: SPEE,"Voice and Articulation"
19214: SPEE,"Voice and Diction"
19215: STSV,"Acad Life & Skills"
19216: STSV,"Blk Male Initiative"
19217: STSV,"Individual and College"
19218: SWAH,"SWA Directed Study"
19219: SWAH,"Swa Directed Study"
19220: SWAH,"Swahili Directed Study"
19221: SWAH,"Swahili I"
19222: SWAH,"Swahili Ii"
19223: SWAH,"Swahili Iii"
19224: SWAH,"Swahili Iv"
19225: THEA,"Acting I"
19226: THEA,"Acting II"
19227: THEA,"Acting for the Camera"
19228: THEA,"Acting: Solo Performance"
19229: THEA,"Advanced Theatre Workshop"
19230: THEA,"Costume Practicum"
19231: THEA,"Elements of Production"
19232: THEA,"History of Theatre"
19233: THEA,"Intro To Theatre (Honors)"
19234: THEA,"Introduction to Theatre"
19235: THEA,"Latin American Theatre & Perfo"
19236: THEA,"Music Theatre: Act Song Lvl I"
19237: THEA,"Page-to-Stage"
19238: THEA,"Performance Practicum"
19239: THEA,"Playwriting"
19240: THEA,"Scenic Practicum"
19241: THEA,"Special Topics Practicum"
19242: THEA,"Stage Management"
19243: THEA,"THE Directed Study"
19244: THEA,"The Directed Study"
19245: THEA,"Theatre Externship"
19246: THEA,"Theatre Management"
19247: THEA,"Voice & Movement"
19248: THEA,"Women in American Theater"
19249: TRAS,"Capstone-Translation/Interpret"
19250: TRAS,"Intro Trans & Interpret Prof"
19251: TRAS,"Intro Trans & Interpret Thry"
19252: TRAS,"Span Trans & Interpret Hltcare"
19253: TRAS,"Spn Legal Trans & Interpret"
19254: TRAS,"Spn Trans & Interpret for Busi"
19255: TRTO,"Hotels19256: TRTO,"Intro Hotels19257: TRTO,"World Markets"
19258: UBST,"Field Experience"
19259: UBST,"Graphic Presentation"
19260: UBST,"Pol & Govt in NYC"
19261: UBST,"Seminar In Urb Prob"
19262: UBST,"URB Directed Study"
19263: UBST,"Urb Directed Study"
19264: UBST,"Urb Politics Sem I"
19265: UBST,"Urban Bureaucracies"
19266: UBST,"Urban Directed Study"
19267: UBST,"Urban Govt & Polit"
19268: UBST,"Urban Planning"
19269: UBST,"Urban Politics Seminar II"
19270: WGST,"Gender & Women’s Stud Capstone"
19271: WGST,"Intro to Gndr & Wmn’s Studies"
19272: YORU,"Yoruba I"
19273: YORU,"Yoruba II"
